Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,36.459999,37.540001,36.130001,37.150002,37.046387,1475100
2017-05-03,37.060001,37.669998,36.869999,37.310001,37.205940,736600
2017-05-04,37.369999,37.459999,36.320000,36.380001,36.278530,936700
2017-05-05,36.480000,36.520000,36.040001,36.389999,36.288506,749100
2017-05-08,36.520000,36.840000,36.000000,36.099998,35.999313,531400
2017-05-09,36.110001,36.459999,35.959999,36.189999,36.089066,429900
2017-05-10,36.180000,36.410000,35.730000,36.250000,36.148895,612000
2017-05-11,35.939999,36.130001,35.160000,35.180000,35.081882,965700
2017-05-12,35.000000,35.240002,34.680000,35.000000,34.902382,504600
2017-05-15,35.000000,35.360001,34.709999,34.849998,34.752796,373300
2017-05-16,34.770000,35.169998,34.299999,35.029999,34.932297,596700
2017-05-17,35.029999,35.349998,34.439999,35.060001,34.962215,727700
2017-05-18,35.070000,35.320000,34.660000,34.950001,34.852524,945600
2017-05-19,35.130001,35.220001,34.580002,34.580002,34.483555,420200
2017-05-22,34.660000,34.959999,34.439999,34.810001,34.712914,374100
2017-05-23,34.860001,35.070000,34.360001,34.369999,34.274139,394500
2017-05-24,34.410000,34.990002,34.029999,34.860001,34.762775,415000
2017-05-25,35.230000,35.770000,35.070000,35.549999,35.450848,615100
2017-05-26,35.639999,35.930000,35.310001,35.930000,35.829788,618800
2017-05-30,35.779999,36.279999,35.709999,36.110001,36.009281,655300
2017-05-31,36.209999,36.560001,35.709999,36.520000,36.418144,558900
2017-06-01,36.580002,38.119999,36.290001,38.110001,38.003704,1351500
2017-06-02,38.020000,39.490002,37.549999,39.150002,39.040806,1196400
2017-06-05,39.240002,39.240002,38.349998,38.910000,38.801476,717400
2017-06-06,38.590000,38.910000,38.110001,38.410000,38.302868,444000
2017-06-07,38.389999,39.740002,38.279999,39.619999,39.509491,1096500
2017-06-08,39.950001,40.330002,39.430000,39.529999,39.419746,940700
2017-06-09,39.700001,39.900002,39.279999,39.490002,39.379860,598100
2017-06-12,39.619999,40.150002,39.330002,39.900002,39.788719,836100
2017-06-13,40.040001,40.099998,39.189999,39.540001,39.429722,520500
2017-06-14,39.490002,39.490002,38.759998,39.209999,39.100639,440600
2017-06-15,38.919998,39.349998,38.680000,38.880001,38.771561,359200
2017-06-16,38.590000,39.430000,38.330002,39.419998,39.310055,910300
2017-06-19,39.639999,39.639999,38.790001,39.310001,39.200363,442600
2017-06-20,39.220001,39.220001,38.360001,38.430000,38.322815,437800
2017-06-21,38.369999,38.900002,38.029999,38.660000,38.552177,777800
2017-06-22,38.299999,38.840000,38.020000,38.599998,38.492340,605700
2017-06-23,38.509998,38.900002,38.200001,38.500000,38.419991,1008500
2017-06-26,38.560001,38.840000,38.410000,38.759998,38.679451,601200
2017-06-27,38.750000,39.529999,38.750000,39.169998,39.088600,617100
2017-06-28,39.189999,40.259998,39.009998,40.119999,40.036625,1176800
2017-06-29,40.139999,40.150002,38.310001,39.029999,38.948887,1036100
2017-06-30,39.029999,39.130001,38.689999,38.900002,38.819164,729100
2017-07-03,38.939999,39.439999,38.830002,38.950001,38.869057,381200
2017-07-05,38.980000,39.150002,38.450001,38.610001,38.529762,761400
2017-07-06,38.480000,38.660000,37.580002,37.750000,37.671555,1086200
2017-07-07,37.790001,38.200001,37.340000,37.840000,37.761368,1113800
2017-07-10,37.869999,38.099998,37.139999,37.709999,37.631634,627400
2017-07-11,37.939999,38.090000,37.639999,37.959999,37.881115,1282800
2017-07-12,38.209999,38.650002,37.869999,37.900002,37.821243,1267900
2017-07-13,37.990002,38.349998,37.840000,38.209999,38.130596,400200
2017-07-14,38.369999,38.369999,37.740002,37.750000,37.671555,455300
2017-07-17,37.759998,38.340000,37.700001,38.139999,38.060738,592700
2017-07-18,38.150002,38.919998,38.070000,38.810001,38.729351,1061000
2017-07-19,38.990002,40.590000,38.990002,39.990002,39.906898,760200
2017-07-20,40.000000,40.000000,39.349998,39.529999,39.447849,543000
