Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,23.549999,23.730000,23.200001,23.650000,23.139038,973700
2017-04-19,23.850000,23.980000,23.700001,23.799999,23.285795,677300
2017-04-20,23.950001,24.500000,23.950001,24.450001,23.921753,1036200
2017-04-21,24.900000,25.000000,24.299999,24.950001,24.410952,975900
2017-04-24,25.500000,25.680000,25.250000,25.350000,24.802309,1496600
2017-04-25,25.549999,25.700001,25.299999,25.299999,24.753386,816000
2017-04-26,25.299999,25.750000,25.150000,25.500000,24.949068,674300
2017-04-27,25.450001,25.600000,25.100000,25.250000,24.704468,572000
2017-04-28,25.250000,25.500000,24.850000,24.900000,24.362028,760100
2017-05-01,25.100000,25.450001,24.780001,25.250000,24.704468,917000
2017-05-02,25.200001,25.200001,24.799999,25.100000,24.557711,751900
2017-05-03,24.950001,25.450001,24.850000,25.299999,24.753386,561200
2017-05-04,25.549999,25.750000,25.299999,25.450001,24.900146,643600
2017-05-05,25.500000,25.549999,25.180000,25.450001,24.900146,495000
2017-05-08,25.450001,25.549999,25.250000,25.500000,24.949068,500500
2017-05-09,25.500000,25.600000,25.049999,25.150000,24.606628,617500
2017-05-10,25.049999,25.280001,24.950001,25.250000,24.704468,559300
2017-05-11,25.200001,25.200001,24.530001,24.750000,24.215271,600900
2017-05-12,24.450001,24.700001,24.250000,24.600000,24.068512,538400
2017-05-15,24.700001,25.049999,24.680000,24.900000,24.362028,546100
2017-05-16,24.950001,25.000000,24.650000,24.950001,24.410952,582200
2017-05-17,24.950001,24.950001,23.700001,23.950001,23.432558,1032100
2017-05-18,23.900000,24.330000,23.700001,24.000000,23.481474,910300
2017-05-19,24.049999,24.450001,23.950001,24.299999,23.774994,644500
2017-05-22,24.400000,24.400000,24.030001,24.299999,23.774994,393400
2017-05-23,24.400000,24.650000,24.110001,24.600000,24.068512,581100
2017-05-24,24.600000,24.700001,24.250000,24.450001,23.921753,376400
2017-05-25,24.450001,24.700001,24.250000,24.400000,23.872833,448300
2017-05-26,24.250000,24.500000,24.200001,24.299999,23.774994,406800
2017-05-30,24.049999,24.100000,23.700001,23.950001,23.548847,739000
2017-05-31,24.000000,24.049999,23.500000,23.850000,23.450520,826000
2017-06-01,24.000000,24.299999,23.700001,24.250000,23.843821,603800
2017-06-02,24.000000,24.400000,23.850000,24.100000,23.696333,725300
2017-06-05,24.150000,24.400000,24.000000,24.100000,23.696333,632800
2017-06-06,23.850000,24.049999,23.650000,23.850000,23.450520,586400
2017-06-07,23.900000,24.129999,23.750000,23.950001,23.548847,780500
2017-06-08,23.900000,24.900000,23.850000,24.700001,24.286285,1578400
2017-06-09,24.900000,25.450001,24.700001,25.299999,24.876230,1871300
2017-06-12,25.299999,25.650000,25.250000,25.350000,24.925396,1508800
2017-06-13,25.500000,25.600000,25.230000,25.350000,24.925396,897400
2017-06-14,24.950001,25.350000,24.650000,25.350000,24.925396,1509200
2017-06-15,25.100000,25.530001,25.000000,25.250000,24.827070,612900
2017-06-16,25.299999,25.299999,24.879999,25.100000,24.679585,1100100
2017-06-19,25.200001,25.350000,25.049999,25.150000,24.728745,632500
2017-06-20,25.049999,25.049999,24.700001,24.750000,24.335445,692600
2017-06-21,24.799999,24.879999,24.450001,24.500000,24.089632,648500
2017-06-22,24.450001,24.600000,24.250000,24.299999,23.892982,573400
2017-06-23,24.500000,24.500000,24.100000,24.200001,23.794659,991200
2017-06-26,24.250000,24.580000,24.049999,24.450001,24.040470,570700
2017-06-27,24.650000,24.750000,24.450001,24.450001,24.040470,678200
2017-06-28,24.650000,24.850000,24.500000,24.799999,24.384607,760100
2017-06-29,25.350000,25.549999,24.879999,25.200001,24.777910,1040600
2017-06-30,25.400000,25.400000,24.879999,25.200001,24.777910,718700
2017-07-03,25.350000,25.900000,25.299999,25.700001,25.269533,494300
2017-07-05,25.700001,25.850000,25.250000,25.549999,25.122046,822400
2017-07-06,25.549999,25.650000,25.150000,25.200001,24.777910,1269100
2017-07-07,25.299999,25.549999,25.100000,25.549999,25.122046,662000
2017-07-10,25.400000,25.600000,25.200001,25.400000,24.974558,927800
2017-07-11,25.400000,25.500000,24.950001,25.250000,24.827070,888600
2017-07-12,25.100000,25.430000,24.950001,25.100000,24.679585,667300
2017-07-13,25.200001,25.330000,25.000000,25.200001,24.777910,483600
