Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,161.050003,161.110001,159.490005,160.119995,155.448471,167600
2017-05-02,160.789993,163.460007,160.009995,163.250000,158.487167,200700
2017-05-03,162.759995,163.520004,162.320007,163.449997,158.681320,168200
2017-05-04,163.139999,163.509995,162.300003,163.330002,158.564850,179400
2017-05-05,163.759995,164.639999,162.440002,164.100006,159.312363,214800
2017-05-08,164.419998,164.639999,163.100006,163.679993,158.904617,196000
2017-05-09,163.320007,165.199997,162.850006,164.490005,159.690994,219500
2017-05-10,164.080002,165.899994,164.000000,165.259995,160.438522,162600
2017-05-11,164.960007,165.149994,162.990005,164.320007,159.525955,207300
2017-05-12,164.259995,165.419998,161.529999,162.289993,157.555176,195400
2017-05-15,162.330002,163.919998,161.839996,161.979996,157.254211,186700
2017-05-16,161.639999,162.809998,158.850006,159.929993,155.264023,361500
2017-05-17,158.800003,159.919998,157.610001,158.520004,153.895187,291900
2017-05-18,157.899994,159.270004,156.250000,158.279999,153.662155,377900
2017-05-19,158.160004,160.369995,158.080002,159.000000,154.361160,375500
2017-05-22,159.360001,163.660004,159.360001,161.410004,156.700851,783000
2017-05-23,164.000000,164.110001,159.039993,161.419998,156.710556,761500
2017-05-24,161.690002,165.500000,161.690002,164.309998,159.516235,318500
2017-05-25,165.190002,167.570007,164.830002,166.210007,161.360825,332800
2017-05-26,166.229996,166.649994,163.850006,165.059998,160.244354,201600
2017-05-30,165.240005,166.250000,164.479996,165.330002,160.506485,173000
2017-05-31,166.000000,167.130005,163.580002,166.809998,161.943314,225700
2017-06-01,167.289993,168.919998,166.399994,168.529999,163.613129,234100
2017-06-02,168.869995,170.500000,168.360001,168.699997,163.778168,257800
2017-06-05,168.479996,169.520004,167.500000,168.029999,163.127701,205800
2017-06-06,167.460007,169.399994,167.000000,168.300003,163.389832,176000
2017-06-07,168.630005,169.850006,168.300003,168.830002,163.904373,154100
2017-06-08,169.550003,169.789993,167.660004,167.929993,163.030624,225100
2017-06-09,167.669998,170.300003,167.669998,169.490005,164.545105,206300
2017-06-12,168.809998,169.320007,166.669998,167.389999,162.506393,279800
2017-06-13,167.509995,167.509995,162.779999,163.809998,159.030838,386900
2017-06-14,163.690002,166.110001,163.250000,165.320007,160.496780,252800
2017-06-15,164.000000,164.100006,161.500000,163.610001,158.836655,275100
2017-06-16,162.779999,164.380005,162.779999,163.320007,158.555130,336200
2017-06-19,163.770004,166.750000,162.779999,166.000000,161.156937,191300
2017-06-20,166.149994,166.610001,163.149994,163.339996,158.574524,202000
2017-06-21,163.479996,164.130005,162.110001,162.440002,157.700806,252300
2017-06-22,162.399994,164.910004,162.399994,163.630005,158.856079,145300
2017-06-23,163.330002,164.729996,163.009995,164.289993,159.496811,146100
2017-06-26,164.720001,166.190002,163.539993,165.570007,160.739487,178500
2017-06-27,165.869995,168.119995,163.949997,166.720001,161.855942,253800
2017-06-28,167.899994,169.600006,166.869995,167.460007,162.574356,296700
2017-06-29,167.779999,168.809998,166.940002,167.940002,163.040344,155800
2017-06-30,168.289993,169.649994,167.130005,167.250000,162.370468,175700
2017-07-03,167.880005,169.000000,166.630005,168.449997,163.535446,178500
2017-07-05,168.820007,168.919998,164.500000,165.149994,160.331726,230500
2017-07-06,164.800003,167.520004,164.550003,166.139999,161.292847,218500
2017-07-07,166.479996,167.169998,165.289993,165.380005,160.555023,201000
2017-07-10,165.059998,166.850006,164.899994,165.149994,160.331726,197600
2017-07-11,165.399994,167.000000,164.910004,166.369995,161.516129,327800
2017-07-12,161.179993,161.850006,159.250000,160.259995,156.714752,307900
2017-07-13,160.839996,160.839996,156.789993,158.820007,155.306610,465700
2017-07-14,158.080002,160.300003,158.080002,158.710007,155.199051,216500
2017-07-17,158.419998,158.970001,157.000000,157.059998,153.585541,258100
2017-07-18,156.839996,157.919998,156.000000,156.059998,152.607681,221800
2017-07-19,156.110001,158.669998,156.000000,157.509995,154.025574,190000
2017-07-20,157.710007,158.160004,156.789993,157.830002,154.338516,175300
2017-07-21,158.149994,159.929993,157.000000,158.520004,155.013260,305900
2017-07-24,158.500000,158.820007,156.089996,157.729996,154.240723,290200
2017-07-25,157.800003,160.270004,156.649994,158.429993,154.925247,312400
