Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,95.300003,95.589996,93.510002,94.709999,92.471169,473900
2017-05-02,94.730003,94.949997,92.639999,93.389999,91.182373,360200
2017-05-03,92.949997,94.669998,92.809998,94.269997,92.041565,393300
2017-05-04,95.449997,95.800003,92.449997,92.620003,90.430573,724500
2017-05-05,93.010002,93.010002,91.019997,92.349998,90.166954,423200
2017-05-08,92.400002,92.959999,91.830002,92.720001,90.528214,240900
2017-05-09,92.870003,93.430000,90.570000,91.349998,89.190598,330200
2017-05-10,91.110001,92.209999,90.690002,91.989998,89.815460,276400
2017-05-11,91.769997,92.120003,89.680000,90.419998,88.282578,344200
2017-05-12,89.639999,89.930000,88.360001,89.480003,87.364807,365600
2017-05-15,90.059998,90.529999,89.580002,90.489998,88.350914,438600
2017-05-16,90.660004,91.970001,90.080002,91.849998,89.678772,355500
2017-05-17,91.849998,91.849998,86.739998,88.419998,86.329849,477200
2017-05-18,88.199997,90.099998,87.839996,89.599998,87.481964,339100
2017-05-19,90.529999,91.849998,90.160004,91.110001,88.956268,505600
2017-05-22,91.500000,91.720001,90.160004,91.370003,89.210129,259400
2017-05-23,91.440002,94.620003,90.930000,93.639999,91.426460,504200
2017-05-24,93.620003,94.589996,92.889999,94.180000,91.953697,449500
2017-05-25,94.379997,95.330002,93.730003,93.919998,91.699837,422300
2017-05-26,93.209999,93.620003,92.180000,92.379997,90.746979,271000
2017-05-30,92.000000,92.589996,90.769997,91.779999,90.157600,205700
2017-05-31,91.470001,92.050003,89.550003,91.660004,90.039719,517900
2017-06-01,92.250000,93.309998,91.089996,93.279999,91.631081,384900
2017-06-02,92.309998,93.449997,91.169998,92.169998,90.540710,350000
2017-06-05,92.440002,93.800003,91.830002,92.190002,90.560356,354700
2017-06-06,90.980003,92.389999,90.919998,91.820000,90.196892,624700
2017-06-07,92.199997,92.900002,91.599998,91.879997,90.255821,455900
2017-06-08,91.730003,95.889999,91.540001,94.779999,93.104568,492300
2017-06-09,95.510002,98.540001,95.480003,97.599998,95.874710,485700
2017-06-12,97.870003,99.199997,97.019997,97.849998,96.120293,502700
2017-06-13,98.220001,99.099998,97.779999,98.589996,96.847214,326300
2017-06-14,97.209999,98.309998,96.099998,97.779999,96.051529,445000
2017-06-15,97.010002,98.570000,95.209999,97.290001,95.570198,247500
2017-06-16,97.089996,97.800003,96.000000,96.790001,95.079033,1086800
2017-06-19,97.550003,98.339996,96.790001,97.809998,96.081001,248300
2017-06-20,97.000000,97.389999,95.360001,95.809998,94.116356,429900
2017-06-21,95.970001,96.070000,93.139999,93.300003,91.650726,432500
2017-06-22,93.239998,93.250000,90.690002,91.339996,89.725372,555000
2017-06-23,91.820000,91.959999,90.339996,90.879997,89.273499,566200
2017-06-26,91.209999,92.650002,90.459999,91.800003,90.177246,369100
2017-06-27,92.599998,94.580002,91.610001,92.080002,90.452293,525700
2017-06-28,92.879997,94.190002,92.440002,93.400002,91.748962,434400
2017-06-29,96.379997,96.769997,93.239998,94.120003,92.456230,511200
2017-06-30,94.760002,94.760002,93.400002,93.910004,92.249947,383900
2017-07-03,94.730003,96.790001,94.250000,95.839996,94.145828,333400
2017-07-05,96.570000,96.570000,94.629997,95.769997,94.077065,228600
2017-07-06,95.849998,96.739998,94.919998,95.190002,93.507317,338400
2017-07-07,95.660004,95.660004,94.070000,95.449997,93.762726,340800
2017-07-10,94.980003,95.540001,94.389999,94.739998,93.065277,243400
2017-07-11,94.919998,95.809998,94.070000,95.570000,93.880600,290600
2017-07-12,95.440002,96.110001,94.940002,95.629997,93.939545,243400
2017-07-13,95.830002,96.489998,95.330002,96.320000,94.617348,312000
2017-07-14,95.070000,96.639999,93.970001,95.830002,94.136009,419600
2017-07-17,95.680000,96.320000,94.900002,95.639999,93.949364,178600
2017-07-18,95.040001,95.540001,93.959999,95.070000,93.389435,207200
2017-07-19,95.449997,95.669998,94.099998,95.449997,93.762726,230600
2017-07-20,95.250000,95.940002,94.629997,95.239998,93.556435,239600
2017-07-21,94.870003,95.559998,94.260002,95.010002,93.330498,286100
2017-07-24,95.040001,96.339996,94.790001,96.220001,94.519104,249700
2017-07-25,98.139999,98.699997,97.330002,98.000000,96.267647,442400
2017-07-26,98.099998,98.400002,95.959999,96.510002,94.803978,569300
2017-07-27,96.860001,96.989998,90.550003,91.760002,90.137955,1018200
2017-07-28,91.230003,91.900002,90.199997,91.550003,89.931664,577200
2017-07-31,90.150002,91.830002,89.150002,90.779999,89.175270,992000
2017-08-01,91.279999,91.279999,90.099998,90.800003,89.194923,716700
2017-08-02,90.940002,93.019997,90.940002,92.790001,91.149742,624700
2017-08-03,92.730003,93.120003,91.349998,92.349998,90.717522,346600
2017-08-04,93.400002,93.440002,91.949997,92.250000,90.619293,308400
2017-08-07,92.309998,92.309998,91.010002,91.760002,90.137955,265800
2017-08-08,91.370003,93.449997,91.230003,91.419998,89.803963,195600
2017-08-09,90.459999,91.230003,89.529999,90.180000,88.585884,263300
2017-08-10,88.970001,89.250000,87.120003,87.209999,85.668381,522700
2017-08-11,86.720001,87.589996,85.809998,86.610001,85.078979,527600
2017-08-14,87.680000,88.949997,87.599998,88.629997,87.063278,480200
2017-08-15,89.070000,89.309998,87.339996,87.400002,85.855026,620500
2017-08-16,87.790001,88.169998,87.080002,87.459999,85.913956,309200
2017-08-17,86.900002,87.389999,84.889999,85.019997,83.517090,375700
2017-08-18,84.709999,85.860001,84.269997,85.220001,83.713554,394600
2017-08-21,85.010002,85.410004,84.370003,85.000000,83.497444,275700
2017-08-22,85.360001,86.290001,85.309998,85.550003,84.037735,313100
2017-08-23,84.809998,86.080002,84.650002,85.199997,83.693909,414000
2017-08-24,85.769997,86.260002,85.040001,85.540001,84.027901,374900
2017-08-25,85.779999,86.360001,85.389999,86.059998,84.538704,310800
2017-08-28,86.290001,86.599998,84.830002,85.230003,83.723389,263400
2017-08-29,83.540001,84.129997,83.000000,83.589996,82.665215,402900
2017-08-30,83.720001,83.989998,83.209999,83.639999,82.714661,424600
2017-08-31,84.029999,84.519997,83.379997,84.199997,83.268471,496800
2017-09-01,84.519997,85.690002,84.440002,85.110001,84.168404,319000
2017-09-05,84.510002,84.849998,82.860001,83.010002,82.091637,328300
2017-09-06,83.449997,84.430000,83.300003,84.110001,83.179459,412200
