Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,17.530001,18.030001,17.379999,17.750000,17.341690,1278500
2017-04-19,17.860001,17.940001,17.330000,17.330000,16.931349,1710100
2017-04-20,17.639999,18.400000,17.639999,18.270000,17.849728,3034000
2017-04-21,18.280001,18.549999,18.170000,18.459999,18.035357,2038000
2017-04-24,18.860001,19.100000,18.610001,19.010000,18.572706,3155500
2017-04-25,19.230000,19.400000,18.900000,19.000000,18.562935,1934400
2017-04-26,18.530001,19.330000,18.510000,19.139999,18.699715,1928800
2017-04-27,19.080000,19.129999,18.629999,18.750000,18.318686,1905300
2017-04-28,18.930000,19.049999,18.610001,18.639999,18.211218,1186800
2017-05-01,18.740000,18.950001,18.510000,18.840000,18.406616,1178500
2017-05-02,18.730000,19.010000,18.580000,18.780001,18.347996,1173800
2017-05-03,18.620001,18.670000,18.080000,18.170000,17.752029,1597700
2017-05-04,17.980000,18.520000,17.969999,18.370001,17.947430,1643300
2017-05-05,18.520000,18.670000,18.139999,18.350000,17.927889,1066900
2017-05-08,18.230000,18.379999,18.010000,18.240000,17.820417,995100
2017-05-09,18.280001,18.459999,18.000000,18.090000,17.673870,826200
2017-05-10,18.219999,18.360001,17.910000,18.230000,17.810648,1491100
2017-05-11,18.270000,18.370001,17.830000,17.840000,17.429619,1269100
2017-05-12,17.770000,17.889999,17.440001,17.610001,17.204912,1224100
2017-05-15,17.930000,18.170000,17.740000,18.100000,17.683638,1516900
2017-05-16,18.209999,18.320000,17.910000,18.180000,17.761799,1223800
2017-05-17,18.180000,18.180000,17.520000,17.530001,17.126751,1458000
2017-05-18,17.400000,17.809999,17.160000,17.660000,17.253759,1526100
2017-05-19,17.820000,18.500000,17.770000,18.280001,17.859497,1747500
2017-05-22,18.510000,18.620001,18.290001,18.440001,18.015816,2280700
2017-05-23,18.440001,19.240000,18.330000,19.049999,18.611786,1719200
2017-05-24,19.080000,19.389999,18.629999,18.730000,18.299147,1826700
2017-05-25,18.790001,18.959999,18.270000,18.350000,17.927889,1585400
2017-05-26,18.350000,18.350000,17.980000,18.120001,17.703178,918500
