Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,21.820000,22.040001,21.620001,21.850000,21.850000,1097300
2017-05-02,21.860001,22.049999,21.820000,21.990000,21.990000,1084700
2017-05-03,21.900000,22.100000,21.799999,21.990000,21.990000,893100
2017-05-04,22.000000,22.170000,21.670000,22.000000,22.000000,947200
2017-05-05,22.000000,22.129999,21.889999,22.120001,22.120001,993900
2017-05-08,22.049999,22.190001,21.950001,22.180000,22.180000,810700
2017-05-09,22.250000,23.000000,22.080000,22.959999,22.959999,1744000
2017-05-10,22.969999,22.990000,22.719999,22.790001,22.790001,1205300
2017-05-11,22.719999,23.219999,22.559999,22.900000,22.900000,915700
2017-05-12,22.900000,22.969999,22.450001,22.490000,22.490000,818300
2017-05-15,22.580000,22.860001,22.530001,22.750000,22.750000,996800
2017-05-16,22.740000,22.830000,22.260000,22.559999,22.559999,873900
2017-05-17,22.340000,22.430000,21.580000,21.730000,21.730000,1481800
2017-05-18,21.799999,21.860001,21.610001,21.700001,21.700001,719500
2017-05-19,21.770000,23.570000,21.750000,23.090000,23.090000,2576400
2017-05-22,23.930000,24.650000,23.620001,24.459999,24.459999,1788600
2017-05-23,24.500000,24.680000,24.030001,24.230000,24.230000,1308600
2017-05-24,23.990000,24.410000,23.870001,24.320000,24.320000,1002300
2017-05-25,24.459999,24.549999,24.080000,24.299999,24.299999,703400
2017-05-26,24.240000,24.240000,23.760000,23.930000,23.930000,640300
2017-05-30,23.950001,24.450001,23.950001,24.320000,24.320000,825300
2017-05-31,24.440001,24.520000,23.680000,23.850000,23.850000,697500
2017-06-01,23.870001,24.139999,23.740000,24.040001,24.040001,481600
2017-06-02,24.139999,24.170000,23.750000,24.139999,24.139999,622000
2017-06-05,24.129999,24.379999,24.059999,24.240000,24.240000,704700
2017-06-06,24.049999,24.650000,24.049999,24.540001,24.540001,616600
2017-06-07,24.559999,24.600000,24.190001,24.270000,24.270000,495900
2017-06-08,24.389999,24.940001,24.290001,24.900000,24.900000,675900
2017-06-09,24.910000,25.150000,24.260000,24.420000,24.420000,719800
2017-06-12,24.260000,24.760000,23.959999,24.639999,24.639999,841600
2017-06-13,24.740000,25.040001,24.680000,24.969999,24.969999,598700
2017-06-14,25.030001,25.059999,24.709999,24.920000,24.920000,846500
2017-06-15,24.590000,24.799999,24.180000,24.389999,24.389999,918700
2017-06-16,24.309999,24.379999,23.940001,24.170000,24.170000,1515800
2017-06-19,24.100000,24.360001,23.969999,24.360001,24.360001,1046000
2017-06-20,24.480000,24.780001,24.059999,24.059999,24.059999,985500
2017-06-21,24.150000,24.620001,24.020000,24.440001,24.440001,919200
2017-06-22,24.430000,25.000000,24.280001,24.830000,24.830000,631100
2017-06-23,24.850000,25.389999,24.549999,25.350000,25.350000,10451200
2017-06-26,25.370001,25.639999,25.200001,25.290001,25.290001,1165100
2017-06-27,25.250000,25.290001,24.680000,24.700001,24.700001,929400
2017-06-28,24.870001,25.320000,24.540001,25.250000,25.250000,932600
2017-06-29,25.400000,25.400000,24.570000,24.790001,24.790001,1038400
2017-06-30,24.870001,24.959999,24.389999,24.650000,24.650000,1208800
2017-07-03,24.790001,25.200001,24.530001,24.530001,24.530001,537700
2017-07-05,24.540001,24.920000,24.309999,24.830000,24.830000,777600
2017-07-06,24.709999,25.590000,24.629999,25.000000,25.000000,1622700
2017-07-07,25.100000,25.730000,25.000000,25.660000,25.660000,1010700
2017-07-10,25.639999,26.000000,25.520000,25.959999,25.959999,1456000
2017-07-11,25.969999,26.110001,25.760000,26.090000,26.090000,972800
2017-07-12,26.209999,26.549999,26.030001,26.309999,26.309999,794700
2017-07-13,26.350000,26.350000,25.959999,26.139999,26.139999,682300
2017-07-14,26.190001,26.280001,26.040001,26.129999,26.129999,510400
2017-07-17,26.070000,26.430000,25.980000,26.170000,26.170000,684700
2017-07-18,26.080000,26.330000,25.650000,26.160000,26.160000,542600
2017-07-19,26.219999,26.410000,25.770000,26.250000,26.250000,515700
2017-07-20,26.160000,26.500000,25.860001,26.459999,26.459999,626300
2017-07-21,26.549999,26.549999,26.049999,26.270000,26.270000,619800
2017-07-24,26.260000,26.309999,25.930000,26.150000,26.150000,706900
2017-07-25,26.270000,26.719999,26.059999,26.440001,26.440001,900000
2017-07-26,26.510000,26.570000,26.260000,26.510000,26.510000,486700
2017-07-27,26.590000,26.709999,26.090000,26.290001,26.290001,745700
2017-07-28,26.160000,26.670000,26.150000,26.410000,26.410000,592200
2017-07-31,26.400000,26.430000,25.900000,25.910000,25.910000,643200
2017-08-01,26.049999,26.170000,25.760000,26.150000,26.150000,605600
2017-08-02,26.139999,26.160000,24.469999,24.490000,24.490000,1225300
2017-08-03,24.469999,24.570000,23.860001,23.990000,23.990000,820800
2017-08-04,23.980000,24.219999,23.780001,24.190001,24.190001,483000
2017-08-07,24.180000,24.570000,24.100000,24.309999,24.309999,674900
2017-08-08,24.209999,24.209999,23.590000,23.719999,23.719999,908900
2017-08-09,23.540001,23.840000,23.410000,23.500000,23.500000,706900
2017-08-10,23.379999,23.400000,22.730000,22.799999,22.799999,879700
2017-08-11,22.830000,23.080000,22.670000,22.980000,22.980000,941900
2017-08-14,23.200001,23.830000,23.160000,23.580000,23.580000,1333300
2017-08-15,23.690001,23.830000,23.389999,23.780001,23.780001,944900
2017-08-16,23.799999,24.219999,23.700001,23.730000,23.730000,954700
2017-08-17,23.580000,23.889999,23.030001,23.049999,23.049999,815900
2017-08-18,22.940001,23.070000,22.760000,22.850000,22.850000,781100
2017-08-21,22.820000,22.870001,22.440001,22.570000,22.570000,1094100
2017-08-22,22.750000,23.190001,22.629999,23.030001,23.030001,2151400
2017-08-23,20.760000,23.459999,20.500000,22.209999,22.209999,11313400
2017-08-24,22.320000,23.450001,22.219999,23.360001,23.360001,1978200
2017-08-25,23.459999,23.760000,23.260000,23.459999,23.459999,1218700
2017-08-28,23.480000,23.580000,23.110001,23.500000,23.500000,1049900
2017-08-29,23.260000,23.410000,23.100000,23.290001,23.290001,804600
2017-08-30,23.320000,24.090000,23.290001,24.080000,24.080000,1362500
2017-08-31,24.190001,24.350000,24.059999,24.330000,24.330000,1177500
2017-09-01,24.330000,24.459999,24.230000,24.410000,24.410000,819700
2017-09-05,24.299999,24.840000,24.299999,24.590000,24.590000,1223900
2017-09-06,24.639999,24.860001,24.400000,24.680000,24.680000,983500
2017-09-07,24.650000,24.750000,24.309999,24.480000,24.480000,719000
2017-09-08,24.420000,24.510000,23.830000,23.850000,23.850000,782600
2017-09-11,24.090000,24.480000,23.889999,24.200001,24.200001,1189600
2017-09-12,24.240000,24.760000,24.100000,24.680000,24.680000,651200
2017-09-13,24.600000,24.660000,24.260000,24.450001,24.450001,758900
2017-09-14,24.440001,24.440001,24.120001,24.250000,24.250000,679700
2017-09-15,24.270000,24.820000,24.200001,24.590000,24.590000,1579500
2017-09-18,24.650000,25.150000,24.590000,24.879999,24.879999,952500
2017-09-19,24.930000,25.110001,24.639999,24.969999,24.969999,753000
2017-09-20,25.000000,25.000000,24.500000,24.639999,24.639999,854600
2017-09-21,24.629999,24.840000,24.450001,24.629999,24.629999,515000
2017-09-22,24.570000,25.160000,24.570000,24.980000,24.980000,882700
2017-09-25,24.790001,26.240000,24.790001,26.200001,26.200001,2734400
2017-09-26,26.260000,26.420000,25.730000,26.290001,26.290001,1284100
2017-09-27,26.500000,28.129999,26.450001,27.730000,27.730000,2369400
2017-09-28,27.730000,28.180000,27.450001,28.160000,28.160000,1050900
2017-09-29,28.110001,28.280001,27.760000,28.190001,28.190001,1120000
2017-10-02,28.250000,28.650000,27.830000,28.590000,28.590000,1418300
2017-10-03,28.670000,29.260000,28.580000,29.250000,29.250000,1563700
2017-10-04,28.930000,29.840000,28.900000,29.809999,29.809999,1824100
2017-10-05,29.799999,29.820000,29.070000,29.570000,29.570000,1704500
2017-10-06,28.230000,29.700001,28.219999,29.459999,29.459999,2675500
2017-10-09,29.309999,29.760000,29.309999,29.490000,29.490000,1420100
2017-10-10,29.780001,29.780001,29.219999,29.459999,29.459999,1056100
