Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,90.260002,90.860001,89.610001,90.360001,90.360001,384900
2017-05-03,90.379997,90.949997,89.190002,90.029999,90.029999,238900
2017-05-04,90.470001,90.980003,89.830002,90.489998,90.489998,310400
2017-05-05,90.690002,90.800003,90.110001,90.589996,90.589996,261800
2017-05-08,90.339996,91.879997,89.739998,91.519997,91.519997,559400
2017-05-09,91.680000,92.610001,91.080002,91.699997,91.699997,728400
2017-05-10,87.279999,90.510002,86.970001,90.220001,90.220001,1038100
2017-05-11,89.989998,90.019997,87.440002,88.230003,88.230003,812000
2017-05-12,88.430000,88.910004,87.720001,88.279999,88.279999,565500
2017-05-15,88.190002,89.930000,88.139999,89.629997,89.629997,363900
2017-05-16,89.930000,90.320000,89.360001,90.190002,90.190002,333100
2017-05-17,90.190002,90.190002,88.379997,88.480003,88.480003,303700
2017-05-18,88.610001,89.580002,87.919998,89.400002,89.400002,309500
2017-05-19,89.559998,90.050003,88.860001,89.599998,89.599998,219000
2017-05-22,89.610001,90.970001,89.370003,90.389999,90.389999,497700
2017-05-23,90.870003,90.959999,90.209999,90.620003,90.620003,184200
2017-05-24,90.599998,92.040001,90.290001,91.699997,91.699997,254300
2017-05-25,91.720001,92.910004,91.330002,92.260002,92.260002,215300
2017-05-26,92.220001,93.080002,92.180000,92.599998,92.599998,194800
2017-05-30,92.650002,92.959999,91.570000,91.790001,91.790001,303500
2017-05-31,91.980003,92.379997,91.470001,92.050003,92.050003,216400
2017-06-01,92.529999,93.660004,92.279999,93.449997,93.449997,266000
2017-06-02,93.750000,94.070000,93.290001,93.720001,93.720001,195400
2017-06-05,93.629997,94.000000,93.000000,93.610001,93.610001,171000
2017-06-06,93.589996,93.650002,92.550003,93.070000,93.070000,254600
2017-06-07,93.180000,93.889999,92.820000,93.500000,93.500000,228200
2017-06-08,93.400002,95.410004,93.099998,95.190002,95.190002,391800
2017-06-09,95.320000,95.830002,94.029999,94.230003,94.230003,539700
2017-06-12,94.120003,94.389999,92.669998,93.529999,93.529999,298000
2017-06-13,93.949997,94.639999,93.709999,94.139999,94.139999,189800
2017-06-14,94.559998,94.959999,93.959999,94.800003,94.800003,331500
2017-06-15,94.209999,95.160004,94.139999,95.150002,95.150002,231000
2017-06-16,95.459999,95.830002,95.139999,95.760002,95.760002,525900
2017-06-19,96.000000,97.919998,95.980003,97.750000,97.750000,343600
2017-06-20,97.540001,99.500000,97.070000,99.099998,99.099998,612200
2017-06-21,99.250000,99.820000,99.080002,99.459999,99.459999,423500
2017-06-22,99.620003,101.230003,98.919998,100.410004,100.410004,417600
2017-06-23,100.349998,100.980003,99.949997,100.290001,100.290001,434200
2017-06-26,100.489998,101.199997,99.599998,100.629997,100.629997,205400
2017-06-27,100.639999,101.269997,99.589996,99.900002,99.900002,302700
2017-06-28,100.339996,101.690002,100.239998,101.199997,101.199997,197300
2017-06-29,101.500000,102.320000,100.779999,101.540001,101.540001,384700
2017-06-30,101.889999,101.889999,100.730003,101.150002,101.150002,288000
2017-07-03,101.610001,101.610001,100.620003,101.059998,101.059998,136100
2017-07-05,101.239998,101.809998,100.699997,101.230003,101.230003,309800
2017-07-06,100.529999,100.849998,99.160004,99.260002,99.260002,316200
2017-07-07,99.860001,100.500000,99.790001,100.250000,100.250000,224700
2017-07-10,100.129997,100.199997,98.720001,99.250000,99.250000,316500
2017-07-11,99.279999,100.519997,99.050003,99.389999,99.389999,233400
2017-07-12,99.860001,101.029999,98.070000,99.970001,99.970001,247900
2017-07-13,100.220001,100.980003,98.550003,100.650002,100.650002,263700
2017-07-14,100.820000,101.239998,100.279999,100.559998,100.559998,160700
2017-07-17,100.879997,101.589996,100.260002,100.699997,100.699997,158200
2017-07-18,100.750000,100.750000,99.330002,99.690002,99.690002,226500
2017-07-19,100.150002,100.459999,99.070000,100.129997,100.129997,220300
2017-07-20,100.459999,101.250000,100.309998,101.099998,101.099998,173700
