Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,51.200001,51.200001,49.599998,49.900002,49.900002,744700
2017-05-02,49.900002,50.599998,49.700001,50.400002,50.400002,636000
2017-05-03,50.349998,51.099998,50.150002,50.750000,50.750000,535000
2017-05-04,50.250000,50.349998,49.150002,50.099998,50.099998,517700
2017-05-05,50.450001,52.049999,50.200001,52.049999,52.049999,526200
2017-05-08,52.150002,52.849998,51.950001,52.250000,52.250000,431900
2017-05-09,52.299999,52.299999,51.049999,51.650002,51.650002,373800
2017-05-10,52.099998,52.750000,51.700001,52.099998,52.099998,452000
2017-05-11,52.549999,53.000000,52.099998,52.450001,52.450001,334300
2017-05-12,52.349998,52.400002,51.349998,51.650002,51.650002,322300
2017-05-15,52.799999,53.200001,51.750000,52.299999,52.299999,333900
2017-05-16,52.599998,52.980000,52.099998,52.900002,52.900002,387500
2017-05-17,52.900002,53.000000,52.049999,52.400002,52.400002,520400
2017-05-18,51.950001,53.099998,51.950001,52.849998,52.849998,415300
2017-05-19,53.099998,54.150002,52.700001,53.549999,53.549999,583100
2017-05-22,53.849998,54.250000,53.200001,53.250000,53.250000,304300
2017-05-23,53.349998,53.450001,52.700001,52.900002,52.900002,223400
2017-05-24,52.900002,53.150002,52.200001,52.599998,52.599998,302200
2017-05-25,52.700001,52.950001,49.880001,50.049999,50.049999,376000
2017-05-26,50.049999,50.450001,49.830002,50.250000,50.250000,269900
2017-05-30,50.049999,50.349998,49.599998,49.650002,49.650002,300700
2017-05-31,49.400002,50.000000,48.599998,49.599998,49.599998,639900
2017-06-01,49.750000,51.000000,49.299999,50.349998,50.349998,609500
2017-06-02,49.849998,50.830002,49.299999,50.500000,50.500000,306300
2017-06-05,50.299999,51.849998,50.000000,51.349998,51.349998,522800
2017-06-06,51.200001,51.790001,50.500000,51.500000,51.500000,542400
2017-06-07,51.400002,51.700001,49.450001,50.549999,50.549999,710500
2017-06-08,50.349998,51.849998,50.049999,50.799999,50.799999,517800
2017-06-09,50.799999,52.450001,50.500000,51.650002,51.650002,800900
2017-06-12,51.549999,53.099998,51.549999,52.599998,52.599998,768900
2017-06-13,52.950001,53.750000,52.599998,53.400002,53.400002,739300
2017-06-14,53.150002,53.400002,50.200001,51.099998,51.099998,733300
2017-06-15,50.250000,51.200001,50.150002,50.200001,50.200001,587200
2017-06-16,50.349998,51.000000,49.950001,50.799999,50.799999,1010700
2017-06-19,50.950001,51.230000,50.230000,51.200001,51.200001,676700
2017-06-20,50.250000,50.599998,48.799999,50.450001,50.450001,886000
2017-06-21,50.250000,50.250000,48.250000,49.099998,49.099998,749800
2017-06-22,49.200001,49.700001,48.750000,48.799999,48.799999,609900
