Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,93.849998,94.620003,93.580002,94.309998,93.941849,326900
2017-04-19,94.889999,95.449997,93.900002,94.449997,94.081291,428600
2017-04-20,95.300003,96.730003,94.709999,96.199997,95.824463,366000
2017-04-21,96.290001,96.790001,94.910004,95.230003,94.858261,674900
2017-04-24,97.080002,97.919998,96.059998,97.629997,97.248886,340800
2017-04-25,98.459999,98.459999,96.080002,96.680000,96.302597,529300
2017-04-26,96.750000,97.230003,95.699997,95.760002,95.386192,645200
2017-04-27,95.809998,97.610001,94.599998,97.150002,96.770760,614600
2017-04-28,96.940002,96.940002,95.500000,95.970001,95.595367,467300
2017-05-01,96.470001,100.059998,95.709999,98.180000,97.796745,653000
2017-05-02,99.110001,101.300003,98.320000,99.199997,98.812752,858900
2017-05-03,98.900002,99.790001,97.769997,98.419998,98.035797,421600
2017-05-04,98.599998,99.089996,96.470001,97.550003,97.169205,361100
2017-05-05,97.970001,98.879997,97.160004,98.879997,98.494003,397200
2017-05-08,98.680000,99.160004,97.440002,98.639999,98.254944,410500
2017-05-09,99.099998,100.260002,98.570000,99.760002,99.370583,394600
2017-05-10,100.379997,101.019997,100.019997,100.820000,100.426437,593100
2017-05-11,100.660004,101.559998,98.820000,100.870003,100.476250,465800
2017-05-12,100.519997,100.589996,98.040001,98.540001,98.155334,430700
2017-05-15,99.000000,100.349998,98.449997,99.580002,99.191277,519700
2017-05-16,100.180000,100.180000,98.199997,98.470001,98.085609,577400
2017-05-17,98.470001,98.470001,94.919998,96.190002,95.814507,803100
2017-05-18,100.750000,101.639999,94.190002,100.879997,100.486198,1368900
2017-05-19,101.000000,101.419998,98.820000,99.480003,99.091667,777300
2017-05-22,99.669998,100.900002,98.769997,98.830002,98.444199,564200
2017-05-23,99.180000,99.690002,97.169998,98.860001,98.474091,503100
2017-05-24,98.650002,98.949997,95.860001,96.540001,96.163139,621300
2017-05-25,96.820000,97.779999,95.080002,95.199997,94.828369,489400
2017-05-26,94.800003,95.620003,93.910004,95.089996,94.718796,505200
2017-05-30,95.870003,96.419998,94.669998,96.019997,95.645172,486800
2017-05-31,96.000000,96.019997,94.110001,94.300003,93.931885,716900
2017-06-01,94.320000,96.809998,94.010002,96.379997,96.003769,484000
2017-06-02,96.239998,97.430000,96.110001,96.540001,96.163139,293800
2017-06-05,96.190002,97.089996,95.800003,96.540001,96.163139,271700
2017-06-06,95.639999,95.809998,94.349998,95.089996,94.718796,308200
2017-06-07,95.480003,97.010002,94.059998,94.550003,94.180908,430100
2017-06-08,95.010002,96.470001,94.370003,95.250000,94.878181,610700
2017-06-09,95.529999,98.000000,94.970001,97.599998,97.219009,523600
2017-06-12,97.720001,98.989998,97.220001,98.180000,97.796745,463900
2017-06-13,98.120003,99.489998,97.910004,99.070000,98.683266,230000
2017-06-14,99.110001,99.110001,95.360001,95.690002,95.316460,355200
2017-06-15,94.839996,95.080002,93.239998,93.660004,93.294388,299700
2017-06-16,92.940002,93.980003,92.099998,93.650002,93.284424,588600
2017-06-19,94.440002,95.040001,93.559998,94.379997,94.112076,385300
2017-06-20,93.730003,93.910004,90.620003,92.559998,92.297234,1000400
2017-06-21,92.650002,92.699997,89.510002,89.849998,89.594933,668000
2017-06-22,89.809998,91.110001,89.040001,90.620003,90.362747,500900
2017-06-23,91.000000,92.389999,90.370003,91.949997,91.688965,608300
2017-06-26,92.110001,93.930000,91.620003,92.459999,92.197525,416400
2017-06-27,92.720001,93.029999,91.400002,91.519997,91.260193,283800
2017-06-28,92.160004,93.070000,91.779999,92.040001,91.778717,362000
2017-06-29,92.180000,92.940002,89.930000,90.720001,90.462456,553900
2017-06-30,91.029999,93.070000,89.400002,92.419998,92.157631,784000
2017-07-03,93.169998,94.610001,91.989998,94.330002,94.062218,273500
2017-07-05,93.970001,94.480003,93.410004,93.940002,93.673325,278100
2017-07-06,93.669998,93.669998,91.839996,92.040001,91.778717,324600
2017-07-07,91.900002,92.540001,89.739998,92.309998,92.047943,643400
2017-07-10,91.820000,92.169998,90.669998,91.230003,90.971016,429900
2017-07-11,91.330002,91.440002,90.379997,91.290001,91.030846,382500
2017-07-12,92.239998,94.230003,91.690002,92.959999,92.696098,353000
2017-07-13,93.220001,94.059998,92.230003,92.910004,92.646240,315500
2017-07-14,93.089996,93.970001,92.580002,93.250000,92.985275,413600
2017-07-17,93.129997,94.879997,93.080002,93.730003,93.463921,370700
2017-07-18,93.230003,93.849998,91.250000,91.339996,91.080704,314400
2017-07-19,91.650002,94.139999,91.650002,94.129997,93.862778,385700
2017-07-20,94.139999,94.220001,93.230003,93.410004,93.144821,276800
2017-07-21,93.230003,93.290001,91.820000,92.320000,92.057922,478700
2017-07-24,92.540001,93.040001,91.720001,91.900002,91.639107,479300
2017-07-25,92.779999,94.320000,92.139999,93.919998,93.653374,479100
2017-07-26,93.449997,93.449997,90.709999,91.970001,91.708908,1094700
2017-07-27,92.790001,97.489998,91.400002,93.279999,93.015190,1224200
2017-07-28,92.519997,92.610001,89.910004,91.320000,91.060753,895900
2017-07-31,93.099998,95.400002,92.690002,94.099998,93.832863,895400
2017-08-01,94.879997,95.120003,89.279999,91.449997,91.190384,1193000
2017-08-02,90.940002,93.669998,90.250000,93.279999,93.015190,741000
2017-08-03,93.279999,93.980003,92.599998,93.029999,92.765907,518500
2017-08-04,93.320000,94.199997,92.699997,94.129997,93.862778,308300
2017-08-07,93.550003,94.620003,93.040001,93.180000,92.915474,422500
2017-08-08,92.930000,92.930000,90.690002,91.470001,91.210335,699300
2017-08-09,91.050003,91.669998,90.820000,91.519997,91.260193,264200
2017-08-10,90.900002,90.940002,87.790001,88.540001,88.288651,542600
2017-08-11,88.120003,89.050003,87.760002,88.580002,88.328537,439100
2017-08-14,89.410004,89.980003,88.800003,89.720001,89.465302,310900
2017-08-15,89.690002,90.599998,89.160004,90.180000,89.923988,331700
2017-08-16,90.699997,91.160004,90.220001,90.870003,90.612038,304400
2017-08-17,90.570000,91.000000,88.760002,89.260002,89.006607,354300
2017-08-18,89.150002,89.199997,87.480003,88.250000,87.999481,612500
2017-08-21,88.459999,88.459999,86.879997,87.849998,87.600609,425200
2017-08-22,88.209999,89.699997,87.830002,89.269997,89.016571,319600
2017-08-23,88.610001,89.250000,88.320000,88.650002,88.398346,229600
2017-08-24,89.250000,89.410004,88.230003,88.449997,88.198906,212700
2017-08-25,89.290001,89.500000,86.510002,87.239998,86.992340,460000
