Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,24.209999,24.500000,23.889999,24.320000,23.793812,1242500
2017-05-03,24.270000,24.379999,24.020000,24.230000,23.705759,749200
2017-05-04,24.330000,24.700001,23.959999,24.360001,23.832949,2261100
2017-05-05,24.500000,26.250000,24.360001,25.540001,24.987417,4472700
2017-05-08,25.500000,25.719999,25.370001,25.520000,24.967850,1879600
2017-05-09,25.629999,26.230000,25.540001,26.150000,25.584219,1648800
2017-05-10,26.120001,26.230000,25.940001,26.120001,25.554869,1336200
2017-05-11,26.070000,26.139999,25.809999,26.030001,25.466818,759100
2017-05-12,26.000000,26.010000,25.690001,25.969999,25.408113,1008300
2017-05-15,25.959999,26.209999,25.900000,26.000000,25.437464,800800
2017-05-16,26.139999,26.750000,25.930000,26.680000,26.102753,1938400
2017-05-17,26.350000,26.600000,26.330000,26.360001,25.789675,1282900
2017-05-18,26.240000,26.820000,26.080000,26.670000,26.092968,859900
2017-05-19,26.760000,27.010000,26.639999,26.730000,26.151670,1565500
2017-05-22,26.850000,26.959999,26.650000,26.950001,26.366911,934400
2017-05-23,27.070000,27.080000,26.740000,26.959999,26.376692,795300
2017-05-24,27.990000,28.209999,27.180000,27.250000,26.660419,1717800
2017-05-25,27.290001,27.420000,26.559999,27.020000,26.435394,1689900
2017-05-26,27.000000,27.530001,26.580000,26.850000,26.269073,1159300
2017-05-30,26.830000,26.900000,26.620001,26.670000,26.092968,1133200
2017-05-31,26.820000,27.040001,26.459999,26.940001,26.357126,1484700
2017-06-01,26.950001,27.180000,26.700001,27.010000,26.425613,1194900
2017-06-02,27.000000,27.270000,26.549999,27.160000,26.720758,869900
2017-06-05,27.160000,27.200001,26.889999,26.920000,26.484642,687600
2017-06-06,26.860001,26.920000,26.570000,26.740000,26.307552,694000
2017-06-07,26.719999,26.809999,26.430000,26.620001,26.189493,1109600
2017-06-08,26.530001,26.620001,26.180000,26.490000,26.061594,1824300
2017-06-09,26.469999,26.690001,25.920000,26.049999,25.628710,1143400
2017-06-12,25.980000,26.059999,25.110001,25.830000,25.412270,1529200
2017-06-13,25.980000,26.629999,25.969999,26.500000,26.071434,989300
2017-06-14,26.650000,26.670000,26.260000,26.440001,26.012405,606300
2017-06-15,26.150000,28.990000,26.049999,28.150000,27.694750,2542700
2017-06-16,28.170000,28.540001,27.270000,27.709999,27.261866,5194300
2017-06-19,27.719999,28.670000,27.719999,28.490000,28.029249,1962200
2017-06-20,28.549999,28.990000,27.910000,27.969999,27.517660,1726100
2017-06-21,27.990000,28.320000,27.620001,27.730000,27.281542,1036400
2017-06-22,27.650000,28.100000,27.459999,27.990000,27.537336,924900
2017-06-23,27.980000,28.160000,27.790001,27.860001,27.409439,1860900
2017-06-26,27.900000,28.150000,27.580000,27.799999,27.350410,475100
2017-06-27,27.700001,27.900000,27.580000,27.700001,27.252028,813300
2017-06-28,27.830000,28.139999,27.639999,28.020000,27.566853,785800
2017-06-29,28.129999,28.129999,27.230000,27.420000,26.976555,714700
2017-06-30,27.540001,27.660000,27.080000,27.490000,27.045424,977900
2017-07-03,27.600000,27.790001,27.180000,27.340000,26.897848,388700
2017-07-05,27.590000,27.590000,27.110001,27.280001,26.838820,734200
2017-07-06,27.139999,27.580000,26.959999,27.299999,26.858494,524300
2017-07-07,27.340000,27.650000,27.250000,27.430000,26.986393,478900
2017-07-10,27.430000,27.600000,27.120001,27.180000,26.740438,500500
2017-07-11,27.200001,27.430000,26.959999,27.230000,26.789627,538800
2017-07-12,27.510000,27.740000,27.389999,27.400000,26.956879,423500
2017-07-13,27.490000,27.490000,26.990000,27.290001,26.848658,414900
2017-07-14,27.270000,27.799999,27.200001,27.690001,27.242188,546300
2017-07-17,27.639999,27.760000,27.500000,27.660000,27.212675,399500
2017-07-18,27.610001,27.629999,27.270000,27.290001,26.848658,802800
2017-07-19,27.299999,27.530001,27.290001,27.370001,26.927362,680600
2017-07-20,27.340000,27.549999,27.170000,27.209999,26.769951,578600
