Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,154.119995,155.240005,151.619995,152.279999,151.142578,188500
2017-05-03,168.699997,169.500000,160.789993,166.279999,165.038025,365900
2017-05-04,167.000000,173.139999,166.550003,169.070007,167.807190,270000
2017-05-05,169.919998,169.919998,165.710007,167.190002,165.941238,159200
2017-05-08,167.020004,167.059998,165.300003,166.559998,165.315933,87200
2017-05-09,166.600006,166.839996,164.860001,165.339996,164.105057,68700
2017-05-10,165.210007,166.490005,164.389999,166.199997,164.958618,60200
2017-05-11,165.630005,167.009995,163.899994,166.250000,165.008255,69000
2017-05-12,165.619995,165.649994,163.350006,164.479996,163.251465,63900
2017-05-15,165.009995,166.610001,163.750000,164.630005,163.400360,76400
2017-05-16,164.710007,165.309998,163.020004,164.449997,163.221695,94900
2017-05-17,162.380005,163.220001,158.800003,158.990005,157.802490,104200
2017-05-18,158.229996,159.990005,157.259995,158.660004,157.474930,93500
2017-05-19,158.610001,160.500000,158.000000,158.330002,157.147400,119700
2017-05-22,158.589996,160.940002,158.270004,160.550003,159.350830,99300
2017-05-23,161.149994,162.470001,158.190002,161.220001,160.345398,84400
2017-05-24,161.029999,163.279999,158.960007,162.679993,161.797470,135200
2017-05-25,163.380005,163.919998,162.250000,162.759995,161.877045,157700
2017-05-26,162.300003,163.360001,161.300003,162.580002,161.698029,60400
2017-05-30,162.320007,163.419998,161.800003,162.580002,161.698029,59400
2017-05-31,163.509995,163.529999,160.500000,161.949997,161.071426,115100
2017-06-01,163.000000,165.639999,161.210007,165.339996,164.443054,93800
2017-06-02,164.889999,169.509995,164.639999,167.929993,167.018982,125200
2017-06-05,168.509995,168.509995,164.940002,165.199997,164.303802,102100
2017-06-06,164.100006,165.910004,163.119995,164.679993,163.786621,64300
2017-06-07,164.970001,166.500000,163.330002,166.149994,165.248642,94800
2017-06-08,166.009995,170.809998,164.470001,170.119995,169.197113,82000
2017-06-09,170.479996,170.960007,165.570007,167.710007,166.800201,106800
2017-06-12,166.910004,168.779999,163.080002,164.850006,163.955719,144500
2017-06-13,165.449997,166.410004,163.110001,164.279999,163.388809,94000
2017-06-14,164.550003,165.279999,161.889999,163.940002,163.050629,100600
2017-06-15,161.759995,163.369995,159.860001,163.029999,162.145569,88000
2017-06-16,162.270004,163.800003,157.910004,162.649994,161.767624,204800
