Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,12.000000,12.170000,11.930000,12.130000,12.130000,1232700
2017-05-02,12.140000,12.280000,12.040000,12.250000,12.250000,1956100
2017-05-03,12.180000,12.250000,11.940000,11.950000,11.950000,1639200
2017-05-04,11.960000,12.030000,11.880000,11.990000,11.990000,1873700
2017-05-05,12.100000,12.410000,11.710000,12.380000,12.380000,3913900
2017-05-08,12.310000,12.370000,12.180000,12.180000,12.180000,1598600
2017-05-09,12.140000,12.220000,12.040000,12.060000,12.060000,1901500
2017-05-10,12.010000,12.250000,11.980000,12.180000,12.180000,1924900
2017-05-11,12.180000,12.710000,12.100000,12.640000,12.640000,3683900
2017-05-12,12.630000,12.680000,12.210000,12.320000,12.320000,1892400
2017-05-15,12.200000,12.340000,11.860000,12.040000,12.040000,3171200
2017-05-16,12.030000,12.200000,11.920000,12.170000,12.170000,1704300
2017-05-17,12.050000,12.050000,11.720000,11.730000,11.730000,2771000
2017-05-18,11.750000,11.940000,11.720000,11.860000,11.860000,1530900
2017-05-19,11.870000,12.000000,11.810000,11.900000,11.900000,1421500
2017-05-22,11.950000,12.140000,11.860000,11.930000,11.930000,1292900
2017-05-23,11.920000,12.030000,11.730000,11.750000,11.750000,2047000
2017-05-24,11.790000,11.810000,11.310000,11.410000,11.410000,3011600
2017-05-25,11.390000,11.640000,11.310000,11.490000,11.490000,2240900
2017-05-26,11.500000,11.530000,11.250000,11.380000,11.380000,1394700
2017-05-30,11.330000,11.390000,11.260000,11.340000,11.340000,1170200
2017-05-31,11.360000,11.460000,11.260000,11.410000,11.410000,1064800
2017-06-01,11.400000,11.990000,11.310000,11.870000,11.870000,2433600
2017-06-02,11.800000,12.070000,11.620000,11.960000,11.960000,1188600
2017-06-05,11.960000,12.140000,11.840000,12.040000,12.040000,1575500
2017-06-06,11.960000,12.160000,11.960000,12.020000,12.020000,2278200
2017-06-07,12.100000,12.100000,11.820000,11.910000,11.910000,2645900
2017-06-08,11.930000,12.350000,11.620000,12.330000,12.330000,1707200
2017-06-09,12.310000,12.490000,12.160000,12.240000,12.240000,1754500
2017-06-12,12.230000,12.380000,12.140000,12.290000,12.290000,2078700
2017-06-13,12.340000,12.520000,12.280000,12.470000,12.470000,1880100
2017-06-14,12.450000,12.540000,12.210000,12.380000,12.380000,2061800
2017-06-15,12.340000,12.490000,12.300000,12.470000,12.470000,1600000
2017-06-16,12.500000,12.500000,12.310000,12.470000,12.470000,3658900
2017-06-19,12.000000,12.350000,11.640000,12.210000,12.210000,5636000
2017-06-20,12.190000,12.510000,12.050000,12.080000,12.080000,3980300
2017-06-21,12.170000,12.370000,12.100000,12.190000,12.190000,3490100
2017-06-22,12.170000,12.810000,12.170000,12.710000,12.710000,4424500
2017-06-23,12.750000,13.080000,12.650000,12.790000,12.790000,23334900
2017-06-26,12.770000,12.850000,12.580000,12.640000,12.640000,3562400
2017-06-27,12.610000,12.740000,12.500000,12.600000,12.600000,3187300
2017-06-28,12.670000,12.830000,12.540000,12.750000,12.750000,5776200
2017-06-29,12.770000,12.890000,12.630000,12.820000,12.820000,2496100
2017-06-30,12.820000,12.970000,12.750000,12.760000,12.760000,2960800
2017-07-03,12.850000,12.950000,12.550000,12.700000,12.700000,1146700
2017-07-05,12.720000,13.000000,12.580000,12.950000,12.950000,2706800
2017-07-06,12.830000,12.920000,12.650000,12.660000,12.660000,3701700
2017-07-07,12.680000,12.870000,12.590000,12.850000,12.850000,1248300
2017-07-10,12.820000,13.150000,12.700000,13.010000,13.010000,3349600
2017-07-11,13.000000,13.000000,12.770000,12.870000,12.870000,2123900
