Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,90.110001,90.110001,88.019997,88.940002,86.752655,662100
2017-05-02,88.599998,89.349998,88.519997,89.349998,87.152573,449600
2017-05-03,89.099998,89.660004,88.629997,89.470001,87.269623,359600
2017-05-04,90.430000,90.809998,88.849998,89.400002,87.201340,466400
2017-05-05,89.739998,90.470001,88.790001,89.589996,87.386658,344800
2017-05-08,89.660004,89.660004,88.360001,89.059998,86.869698,421500
2017-05-09,89.190002,89.669998,88.889999,89.570000,87.367157,346900
2017-05-10,89.790001,90.709999,89.180000,90.379997,88.157234,490000
2017-05-11,89.959999,90.099998,88.050003,88.629997,86.450272,521200
2017-05-12,88.309998,88.419998,87.519997,87.839996,85.679703,269700
2017-05-15,88.160004,88.610001,87.699997,88.459999,86.284447,391500
2017-05-16,88.849998,88.849998,86.370003,86.510002,84.382416,820900
2017-05-17,86.510002,86.510002,82.180000,82.199997,80.178406,1295200
2017-05-18,81.919998,84.160004,81.580002,83.760002,81.700050,924000
2017-05-19,84.339996,86.410004,83.769997,85.559998,83.455772,1011800
2017-05-22,85.809998,86.489998,85.459999,86.169998,84.050781,323700
2017-05-23,86.269997,86.610001,85.029999,85.720001,83.611847,325100
2017-05-24,85.720001,85.959999,84.970001,85.349998,83.250938,368900
2017-05-25,85.559998,85.839996,84.930000,84.970001,82.880295,230400
2017-05-26,84.959999,85.599998,84.449997,85.480003,83.377754,182300
2017-05-30,85.099998,85.889999,83.919998,83.919998,81.856110,315700
2017-05-31,83.849998,84.330002,82.379997,83.940002,81.875618,343500
2017-06-01,84.239998,85.790001,83.680000,85.300003,83.202179,339700
2017-06-02,86.699997,87.980003,85.339996,86.209999,84.089790,498400
2017-06-05,86.070000,86.400002,85.339996,86.070000,83.953232,300600
2017-06-06,85.269997,85.290001,82.669998,82.809998,80.773407,708500
2017-06-07,82.940002,83.379997,82.019997,82.150002,80.129646,467600
2017-06-08,82.150002,84.349998,81.570000,84.070000,82.002426,426700
2017-06-09,84.419998,85.190002,83.669998,84.040001,81.973167,470700
2017-06-12,83.769997,85.139999,83.190002,83.660004,81.602509,393600
2017-06-13,84.019997,84.150002,83.139999,83.610001,81.553741,317000
2017-06-14,83.570000,83.870003,82.570000,83.760002,81.700050,378000
2017-06-15,83.349998,84.459999,83.220001,83.620003,81.563492,239600
2017-06-16,83.720001,85.449997,83.720001,85.360001,83.260696,507900
2017-06-19,86.080002,86.410004,85.510002,85.980003,83.865456,476200
2017-06-20,85.349998,85.529999,83.930000,84.000000,81.934143,500800
2017-06-21,84.099998,84.099998,83.120003,83.339996,81.290375,283500
2017-06-22,83.410004,84.760002,83.099998,84.410004,82.334068,299000
2017-06-23,84.410004,85.370003,84.070000,84.730003,82.646202,590700
2017-06-26,84.750000,85.300003,83.860001,85.110001,83.016846,859300
2017-06-27,85.419998,85.419998,83.980003,84.349998,82.275536,296300
2017-06-28,84.940002,85.839996,84.650002,85.610001,83.504555,280300
2017-06-29,85.919998,85.989998,84.349998,84.900002,82.812012,304600
2017-06-30,85.230003,86.459999,85.010002,85.959999,83.845940,344100
2017-07-03,86.660004,88.449997,85.980003,87.959999,85.796753,216800
2017-07-05,87.680000,88.410004,87.190002,88.160004,85.991837,376900
2017-07-06,88.519997,89.570000,87.959999,88.180000,86.011353,935500
2017-07-07,88.300003,89.260002,87.830002,89.040001,86.850189,361400
2017-07-10,88.900002,89.099998,87.540001,88.260002,86.089378,544600
2017-07-11,87.730003,88.000000,85.980003,87.040001,84.899384,1289600
2017-07-12,79.889999,82.500000,71.070000,74.779999,72.940903,7064400
2017-07-13,74.519997,75.650002,72.019997,72.190002,70.414597,2748400
2017-07-14,71.930000,73.830002,71.889999,73.660004,72.299126,1468600
2017-07-17,73.529999,74.839996,73.300003,74.309998,72.937119,1071500
2017-07-18,74.160004,74.599998,73.129997,73.690002,72.328575,1045100
2017-07-19,74.010002,74.010002,71.540001,71.769997,70.444038,1875700
2017-07-20,72.260002,72.410004,71.070000,71.320000,70.002350,1488300
2017-07-21,71.099998,71.180000,70.089996,70.800003,69.491966,720300
2017-07-24,70.800003,71.680000,70.800003,71.169998,69.855125,506900
2017-07-25,71.660004,72.639999,70.389999,72.339996,71.003510,1319700
2017-07-26,72.449997,72.870003,71.889999,72.480003,71.140930,830500
2017-07-27,72.750000,72.750000,71.370003,72.260002,70.924995,1111600
2017-07-28,72.290001,72.550003,71.709999,72.300003,70.964249,431300
2017-07-31,72.470001,72.470001,70.879997,71.209999,69.894386,599000
2017-08-01,71.410004,71.459999,70.339996,70.959999,69.649002,595800
2017-08-02,70.739998,70.940002,69.330002,70.480003,69.177879,720600
2017-08-03,70.440002,70.699997,69.900002,70.489998,69.187683,496200
2017-08-04,69.720001,71.300003,69.720001,70.949997,69.639191,667700
2017-08-07,71.110001,71.110001,70.110001,70.309998,69.011009,427900
2017-08-08,70.320000,71.010002,69.610001,70.120003,68.824532,521500
2017-08-09,70.019997,70.839996,69.449997,70.639999,69.334915,742400
2017-08-10,70.389999,70.629997,69.500000,69.510002,68.225800,517100
2017-08-11,68.430000,70.330002,68.430000,69.730003,68.441734,308400
2017-08-14,70.349998,70.860001,70.290001,70.489998,69.187683,295200
2017-08-15,70.849998,70.849998,69.989998,69.989998,68.696930,310900
2017-08-16,70.180000,70.430000,69.029999,69.519997,68.235611,486000
2017-08-17,69.459999,69.629997,67.820000,67.839996,66.586647,386100
2017-08-18,67.739998,67.940002,66.889999,67.279999,66.036995,725900
2017-08-21,67.250000,67.250000,65.419998,65.620003,64.407669,990900
2017-08-22,65.889999,67.519997,65.510002,67.180000,65.938843,873900
2017-08-23,66.769997,67.269997,66.440002,67.000000,65.762169,412100
2017-08-24,67.309998,67.309998,66.739998,67.010002,65.771980,331700
2017-08-25,67.320000,68.000000,66.900002,67.449997,66.203850,684800
2017-08-28,67.639999,67.949997,66.750000,67.059998,65.821060,769200
2017-08-29,66.760002,67.300003,66.160004,66.379997,65.153618,426600
2017-08-30,66.269997,67.769997,66.120003,67.220001,65.978104,545400
2017-08-31,67.669998,69.000000,67.160004,68.879997,67.607430,749200
2017-09-01,69.120003,69.339996,68.570000,69.160004,67.882263,372200
2017-09-05,69.099998,69.589996,68.949997,69.500000,68.215981,497500
2017-09-06,69.860001,70.989998,69.349998,69.389999,68.108009,483200
2017-09-07,69.589996,69.589996,67.930000,68.809998,67.538727,296600
2017-09-08,68.680000,69.900002,68.269997,69.629997,68.343582,433800
2017-09-11,70.000000,70.459999,70.000000,70.120003,68.824532,317800
2017-09-12,70.449997,71.339996,70.300003,71.180000,69.864937,303600
2017-09-13,71.110001,71.690002,70.879997,71.559998,70.237923,271700
2017-09-14,71.540001,72.500000,71.269997,72.089996,70.758125,422600
2017-09-15,72.220001,72.360001,71.680000,72.000000,70.669800,521700
2017-09-18,72.080002,72.769997,72.059998,72.419998,71.082031,287400
2017-09-19,72.470001,72.900002,72.169998,72.699997,71.356857,476000
2017-09-20,72.889999,73.699997,72.769997,73.330002,71.975227,441900
2017-09-21,73.389999,74.239998,72.970001,73.730003,72.367828,445000
2017-09-22,73.750000,74.050003,73.459999,73.800003,72.436546,361500
2017-09-25,73.599998,74.790001,73.510002,74.389999,73.015633,753800
2017-09-26,74.680000,75.750000,74.470001,75.500000,74.105125,424700
2017-09-27,75.550003,75.809998,74.300003,75.349998,73.957893,526400
2017-09-28,75.279999,75.690002,74.419998,74.910004,73.526031,402300
2017-09-29,74.820000,76.349998,74.739998,75.570000,74.173836,599800
2017-10-02,75.320000,75.820000,74.650002,75.629997,74.232727,452800
2017-10-03,75.959999,76.239998,75.620003,75.820000,74.419212,444000
2017-10-04,75.830002,76.250000,74.370003,74.580002,73.202133,557000
2017-10-05,74.809998,75.989998,74.760002,75.940002,74.537003,470300
2017-10-06,75.529999,76.730003,75.139999,76.070000,74.664597,553100
2017-10-09,76.349998,76.650002,75.620003,75.709999,74.311249,345500
2017-10-10,76.190002,76.290001,74.769997,75.209999,73.820488,464300
2017-10-11,74.019997,74.529999,72.510002,74.440002,73.064713,610600
2017-10-12,74.330002,76.040001,74.330002,75.709999,74.311249,487700
2017-10-13,76.059998,77.389999,75.940002,76.269997,74.860893,677700
2017-10-16,76.300003,76.360001,75.410004,75.570000,74.173836,467200
2017-10-17,75.959999,79.230003,75.959999,78.930000,77.471764,1289300
2017-10-18,79.000000,79.919998,78.540001,78.730003,77.275467,583700
2017-10-19,78.650002,79.040001,78.160004,78.379997,76.931915,429000
2017-10-20,78.809998,79.730003,78.730003,79.599998,78.129379,399600
2017-10-23,79.599998,80.449997,79.029999,80.180000,78.698669,605500
2017-10-24,80.250000,81.150002,77.290001,77.519997,76.087814,847200
2017-10-25,76.930000,78.099998,75.660004,76.680000,75.263336,503100
2017-10-26,76.879997,78.629997,76.680000,78.519997,77.069328,460500
2017-10-27,78.389999,78.529999,76.599998,78.529999,77.079147,527700
2017-10-30,78.150002,80.110001,77.779999,79.500000,78.031227,974500
2017-10-31,83.629997,85.000000,80.970001,82.900002,81.368423,961200
2017-11-01,84.000000,84.339996,80.279999,80.800003,79.307220,793800
2017-11-02,81.000000,83.050003,80.940002,82.330002,80.808945,905400
2017-11-03,82.269997,83.050003,81.639999,81.959999,80.445786,277600
2017-11-06,81.970001,82.900002,81.639999,81.910004,80.396698,268200
2017-11-07,82.059998,82.080002,81.470001,81.709999,80.200394,331100
2017-11-08,81.500000,82.250000,81.160004,81.459999,79.955017,270400
2017-11-09,80.830002,81.459999,79.250000,79.970001,78.492538,595900
2017-11-10,80.070000,81.779999,79.449997,80.400002,78.914604,536800
2017-11-13,79.589996,79.639999,78.580002,79.230003,78.233284,503100
2017-11-14,78.790001,80.000000,78.790001,79.930000,78.924477,490800
2017-11-15,79.919998,80.620003,78.610001,78.980003,77.986427,834500
2017-11-16,79.180000,80.959999,79.139999,80.650002,79.635422,439400
2017-11-17,80.500000,81.309998,80.029999,80.949997,79.931633,283500
2017-11-20,81.110001,81.430000,80.610001,81.379997,80.356232,362300
2017-11-21,81.599998,82.440002,81.400002,82.199997,81.165909,500200
2017-11-22,82.660004,83.180000,81.410004,81.489998,80.464851,251100
2017-11-24,81.639999,81.639999,80.959999,81.470001,80.445107,105400
2017-11-27,81.470001,82.699997,81.029999,82.269997,81.235039,387800
2017-11-28,82.419998,84.070000,81.870003,83.910004,82.854408,254300
2017-11-29,83.769997,86.820000,83.769997,86.500000,85.411819,625500
2017-11-30,86.379997,90.370003,86.279999,90.070000,88.936905,1182700
2017-12-01,89.690002,90.629997,86.879997,90.370003,89.233139,871700
2017-12-04,91.639999,96.339996,91.190002,92.839996,91.672066,1052200
2017-12-05,94.120003,94.190002,90.000000,90.080002,88.946785,451400
2017-12-06,89.930000,90.040001,89.260002,89.459999,88.334587,304600
2017-12-07,89.669998,90.370003,89.379997,90.010002,88.877670,339300
2017-12-08,90.449997,90.750000,89.500000,90.500000,89.361504,280100
2017-12-11,90.360001,90.599998,89.949997,90.230003,89.094902,307800
2017-12-12,90.330002,90.650002,89.360001,89.650002,88.522202,266100
2017-12-13,89.989998,90.010002,89.059998,89.370003,88.245720,403500
2017-12-14,89.559998,89.900002,88.699997,88.989998,87.870499,296900
2017-12-15,90.279999,92.790001,90.139999,91.699997,90.546410,1033100
2017-12-18,92.639999,93.250000,91.820000,92.809998,91.642433,322900
2017-12-19,92.910004,93.070000,91.879997,92.070000,90.911751,318600
2017-12-20,92.510002,93.349998,91.900002,92.919998,91.751053,259500
2017-12-21,93.330002,94.699997,92.599998,94.349998,93.163063,222800
2017-12-22,94.639999,94.639999,93.089996,94.389999,93.202560,176700
2017-12-26,94.500000,95.610001,94.400002,95.519997,94.318344,183100
2017-12-27,95.610001,95.889999,94.650002,95.690002,94.486214,229900
2017-12-28,95.870003,97.459999,93.680000,97.260002,96.036461,563500
2017-12-29,97.459999,97.949997,96.419998,96.660004,95.444016,262700
2018-01-02,97.089996,97.910004,94.949997,97.190002,95.967346,461600
2018-01-03,97.629997,99.519997,97.099998,99.260002,98.011307,543300
2018-01-04,93.989998,99.110001,92.620003,98.500000,97.260864,850200
2018-01-05,99.269997,99.830002,96.809998,97.449997,96.224068,594700
2018-01-08,97.349998,98.919998,96.809998,98.379997,97.142365,582300
2018-01-09,99.279999,99.940002,97.410004,97.699997,96.470924,963300
2018-01-10,91.730003,96.260002,91.150002,92.529999,91.365967,2545300
2018-01-11,92.949997,96.820000,92.800003,95.150002,93.953003,1547900
2018-01-12,95.180000,96.300003,94.309998,94.750000,94.131828,691100
2018-01-16,94.830002,95.250000,92.320000,93.449997,92.840309,977600
2018-01-17,93.320000,93.620003,90.110001,90.720001,90.128128,1387300
2018-01-18,90.790001,93.099998,90.709999,92.169998,91.568665,783700
2018-01-19,92.430000,94.879997,92.430000,94.489998,93.873528,906700
2018-01-22,94.199997,94.309998,92.949997,94.000000,93.386726,864200
2018-01-23,93.800003,95.269997,93.570000,94.809998,94.191437,756600
2018-01-24,95.860001,99.349998,95.750000,98.730003,98.085869,1923300
2018-01-25,98.949997,99.739998,96.980003,99.080002,98.433586,1706600
2018-01-26,99.669998,99.739998,98.059998,98.660004,98.016327,899800
2018-01-29,98.000000,98.629997,96.150002,96.250000,95.622047,669800
2018-01-30,95.089996,95.430000,93.610001,95.129997,94.509346,767200
2018-01-31,95.839996,96.459999,93.400002,93.879997,93.267502,592800
2018-02-01,93.500000,94.230003,92.059998,93.510002,92.899925,620400
2018-02-02,92.879997,93.400002,90.959999,91.370003,90.773888,676200
2018-02-05,90.250000,92.839996,89.360001,89.599998,89.015427,914500
2018-02-06,87.839996,91.709999,86.839996,90.610001,90.018845,730600
2018-02-07,90.129997,91.930000,90.129997,91.050003,90.455971,545200
2018-02-08,91.339996,91.879997,88.660004,88.699997,88.121300,1226200
2018-02-09,89.190002,90.120003,86.690002,89.209999,88.627975,1078300
2018-02-12,89.750000,90.180000,87.830002,88.459999,87.882866,670700
2018-02-13,87.930000,88.820000,87.360001,88.629997,88.051758,735700
2018-02-14,87.989998,88.690002,87.379997,88.580002,88.002090,793400
2018-02-15,89.320000,89.790001,87.250000,89.349998,88.767059,674000
2018-02-16,89.269997,90.410004,88.529999,88.720001,88.141174,384200
2018-02-20,88.120003,88.959999,87.720001,88.300003,87.723915,701800
2018-02-21,88.540001,89.820000,88.519997,88.529999,87.952408,403900
2018-02-22,89.139999,89.389999,87.580002,87.760002,87.187439,543400
2018-02-23,88.410004,88.940002,87.570000,88.820000,88.240517,293200
2018-02-26,89.230003,90.139999,88.169998,89.860001,89.273735,545500
2018-02-27,89.940002,90.709999,88.690002,88.919998,88.339867,442600
2018-02-28,89.239998,89.660004,87.459999,87.480003,86.909264,381100
2018-03-01,87.540001,88.300003,85.760002,86.519997,85.955521,466300
2018-03-02,85.760002,87.279999,84.839996,86.910004,86.342987,488100
2018-03-05,86.599998,88.430000,86.220001,88.010002,87.435806,382600
2018-03-06,88.519997,90.839996,88.220001,90.389999,89.800278,543000
2018-03-07,89.650002,91.529999,88.989998,91.309998,90.714272,790400
2018-03-08,91.820000,92.110001,90.559998,91.660004,91.061996,479900
2018-03-09,92.169998,93.669998,91.980003,93.400002,92.790642,446000
2018-03-12,93.669998,94.760002,93.309998,93.419998,92.810509,962100
2018-03-13,94.050003,94.510002,92.809998,93.750000,93.138359,616800
2018-03-14,94.519997,96.160004,94.250000,95.389999,94.767654,901600
2018-03-15,95.300003,96.559998,94.099998,94.300003,93.684769,731400
2018-03-16,93.690002,96.349998,92.029999,95.629997,95.006088,1458700
2018-03-19,96.160004,96.269997,92.540001,93.790001,93.178093,657700
2018-03-20,93.980003,95.470001,92.800003,93.580002,92.969467,577900
2018-03-21,93.669998,94.470001,92.860001,93.489998,92.880051,461500
2018-03-22,92.720001,93.790001,91.400002,91.480003,90.883171,498100
2018-03-23,91.889999,92.209999,89.389999,89.489998,88.906143,419400
2018-03-26,90.650002,91.779999,90.349998,91.470001,90.873230,810200
2018-03-27,91.949997,92.080002,88.820000,89.400002,88.816734,284700
2018-03-28,89.800003,91.089996,89.150002,90.129997,89.541969,429600
2018-03-29,90.510002,92.080002,90.419998,91.709999,91.111664,527500
2018-04-02,91.330002,91.559998,87.269997,88.480003,87.902740,569200
2018-04-03,88.459999,90.180000,88.120003,89.830002,89.243935,1099400
2018-04-04,88.839996,91.239998,88.239998,90.980003,90.386429,328300
2018-04-05,91.750000,94.080002,91.309998,93.239998,92.631683,660000
2018-04-06,92.550003,93.980003,90.360001,92.000000,91.399773,855400
2018-04-09,92.809998,93.300003,91.419998,91.739998,91.141464,1101300
