Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,5.030000,5.080000,4.960000,5.030000,4.889988,4830100
2017-05-03,5.020000,5.020000,4.930000,4.950000,4.812214,3909300
2017-05-04,4.980000,5.100000,4.950000,5.040000,4.899710,4705200
2017-05-05,5.040000,5.120000,5.010000,5.080000,4.938596,3705000
2017-05-08,5.100000,5.140000,5.000000,5.110000,4.967761,5719700
2017-05-09,5.430000,5.540000,5.210000,5.260000,5.113586,9502200
2017-05-10,5.250000,5.330000,5.140000,5.190000,5.045535,6123800
2017-05-11,5.150000,5.180000,4.960000,5.100000,4.958039,6137300
2017-05-12,5.040000,5.180000,4.940000,5.150000,5.006648,7313400
2017-05-15,5.180000,5.280000,5.130000,5.180000,5.035812,8024300
2017-05-16,5.170000,5.230000,5.030000,5.190000,5.045535,7349500
2017-05-17,5.120000,5.150000,4.990000,5.020000,4.880266,8918600
2017-05-18,5.020000,5.130000,4.990000,5.030000,4.889988,9386600
2017-05-19,5.020000,5.110000,4.930000,5.030000,4.889988,7435500
2017-05-22,5.060000,5.180000,4.990000,5.070000,4.928875,5949600
2017-05-23,5.080000,5.100000,4.940000,5.010000,4.894681,7336100
2017-05-24,5.020000,5.030000,4.910000,4.970000,4.855601,6467500
2017-05-25,4.970000,5.120000,4.970000,5.040000,4.923990,4784700
2017-05-26,5.030000,5.090000,4.990000,5.040000,4.923990,4050800
2017-05-30,5.030000,5.120000,5.000000,5.070000,4.953300,4908300
2017-05-31,5.080000,5.120000,4.980000,5.110000,4.992378,6637500
2017-06-01,5.070000,5.200000,5.060000,5.160000,5.041227,10304000
2017-06-02,5.170000,5.420000,5.110000,5.400000,5.275703,18418400
2017-06-05,5.420000,5.440000,5.130000,5.160000,5.041227,7778600
2017-06-06,5.120000,5.190000,5.000000,5.150000,5.031458,6833800
2017-06-07,5.100000,5.270000,5.100000,5.190000,5.070537,9443300
2017-06-08,5.190000,5.380000,5.180000,5.320000,5.197545,6897000
2017-06-09,5.360000,5.570000,5.310000,5.560000,5.432020,10784000
2017-06-12,5.530000,5.670000,5.500000,5.660000,5.529718,15842400
2017-06-13,5.690000,5.700000,5.590000,5.620000,5.490639,7842000
2017-06-14,5.620000,5.660000,5.470000,5.610000,5.480870,8070200
2017-06-15,5.540000,5.620000,5.510000,5.520000,5.392941,4823200
2017-06-16,5.460000,5.460000,5.270000,5.420000,5.295243,11463900
2017-06-19,5.440000,5.520000,5.350000,5.440000,5.314783,4584600
2017-06-20,5.420000,5.490000,5.390000,5.400000,5.275703,5367000
2017-06-21,5.390000,5.450000,5.360000,5.390000,5.265934,4332900
2017-06-22,5.440000,5.690000,5.420000,5.510000,5.383172,9100100
2017-06-23,5.520000,5.620000,5.450000,5.600000,5.471100,7306500
2017-06-26,5.650000,5.660000,5.530000,5.580000,5.451560,5789500
2017-06-27,5.600000,5.650000,5.560000,5.580000,5.451560,3874200
2017-06-28,5.610000,5.680000,5.540000,5.650000,5.519948,7080500
2017-06-29,5.670000,5.760000,5.560000,5.650000,5.519948,6708000
2017-06-30,5.680000,5.700000,5.590000,5.640000,5.510179,5478200
2017-07-03,5.650000,5.720000,5.600000,5.660000,5.529718,1939600
2017-07-05,5.650000,5.720000,5.590000,5.670000,5.539488,4677000
2017-07-06,5.620000,5.690000,5.560000,5.560000,5.432020,5213700
2017-07-07,5.560000,5.770000,5.510000,5.720000,5.588337,5488300
2017-07-10,5.730000,5.740000,5.580000,5.590000,5.461330,9243700
2017-07-11,5.620000,5.730000,5.500000,5.510000,5.383172,7391400
2017-07-12,5.540000,5.730000,5.540000,5.660000,5.529718,6527100
2017-07-13,5.690000,5.840000,5.640000,5.840000,5.705575,4677400
2017-07-14,5.820000,5.830000,5.700000,5.740000,5.607877,5793300
2017-07-17,5.740000,5.860000,5.740000,5.830000,5.695806,4746500
2017-07-18,5.830000,5.940000,5.800000,5.890000,5.754425,8197500
2017-07-19,5.960000,6.050000,5.890000,6.020000,5.881432,7714500
2017-07-20,6.040000,6.110000,6.010000,6.090000,5.949821,4029800
2017-07-21,6.150000,6.150000,5.920000,5.930000,5.793504,3282000
2017-07-24,5.920000,5.960000,5.770000,5.830000,5.695806,4009400
2017-07-25,5.860000,6.050000,5.820000,6.000000,5.861893,8126000
2017-07-26,5.950000,5.980000,5.880000,5.880000,5.744655,3539400
2017-07-27,5.900000,5.970000,5.810000,5.880000,5.744655,4171700
2017-07-28,5.850000,5.880000,5.750000,5.760000,5.627417,4675700
2017-07-31,5.860000,6.020000,5.750000,5.870000,5.734885,7114400
2017-08-01,5.910000,5.910000,5.700000,5.820000,5.686036,3883400
2017-08-02,5.810000,5.910000,5.770000,5.800000,5.666496,3946100
2017-08-03,5.790000,5.830000,5.740000,5.830000,5.695806,3340400
2017-08-04,5.850000,5.960000,5.760000,5.940000,5.803274,3745800
2017-08-07,5.940000,6.240000,5.900000,6.170000,6.027979,7999000
2017-08-08,6.200000,6.260000,6.090000,6.110000,5.969361,8283000
2017-08-09,5.150000,5.310000,4.510000,4.530000,4.425729,25409300
2017-08-10,4.560000,4.670000,4.430000,4.450000,4.347570,11609800
2017-08-11,4.480000,4.520000,4.210000,4.270000,4.171713,11392600
2017-08-14,4.290000,4.390000,4.280000,4.330000,4.230333,7951600
2017-08-15,4.310000,4.390000,4.230000,4.250000,4.152174,4556000
2017-08-16,4.250000,4.350000,4.240000,4.310000,4.210793,5810800
2017-08-17,4.280000,4.330000,4.090000,4.090000,3.995857,7563900
2017-08-18,4.090000,4.180000,4.070000,4.120000,4.025167,6273300
2017-08-21,4.130000,4.170000,4.040000,4.070000,3.976317,3564300
2017-08-22,4.080000,4.170000,4.070000,4.090000,3.995857,4745300
2017-08-23,4.050000,4.100000,3.950000,3.960000,3.892643,7935400
2017-08-24,4.000000,4.090000,4.000000,4.040000,3.971282,5782600
2017-08-25,4.040000,4.160000,3.990000,4.140000,4.069581,4178300
2017-08-28,4.140000,4.270000,4.090000,4.220000,4.148220,4747100
2017-08-29,4.150000,4.190000,4.020000,4.180000,4.108900,4417200
2017-08-30,4.170000,4.270000,4.160000,4.170000,4.099071,3561300
2017-08-31,4.190000,4.300000,4.130000,4.290000,4.217030,11958600
2017-09-01,4.260000,4.310000,4.160000,4.300000,4.226860,3673000
2017-09-05,4.290000,4.410000,4.200000,4.260000,4.187540,4139700
2017-09-06,4.300000,4.360000,4.290000,4.330000,4.256349,2756700
2017-09-07,4.340000,4.380000,4.270000,4.310000,4.236690,3398900
2017-09-08,4.310000,4.340000,4.270000,4.330000,4.256349,2812100
2017-09-11,4.350000,4.420000,4.350000,4.370000,4.295669,3218100
2017-09-12,4.410000,4.540000,4.400000,4.510000,4.433288,3629300
2017-09-13,4.520000,4.620000,4.500000,4.590000,4.511927,5828700
2017-09-14,4.600000,4.610000,4.490000,4.520000,4.443118,2834000
2017-09-15,4.540000,4.560000,4.460000,4.480000,4.403798,6250600
2017-09-18,4.510000,4.530000,4.400000,4.420000,4.344818,3160500
2017-09-19,4.420000,4.470000,4.340000,4.350000,4.276009,4040900
2017-09-20,4.350000,4.370000,4.280000,4.300000,4.226860,4263700
2017-09-21,4.310000,4.390000,4.270000,4.290000,4.217030,4190300
2017-09-22,4.260000,4.460000,4.260000,4.370000,4.295669,4960600
2017-09-25,4.330000,4.470000,4.310000,4.430000,4.354648,2992000
2017-09-26,4.440000,4.510000,4.410000,4.450000,4.374308,3479300
2017-09-27,4.480000,4.560000,4.400000,4.520000,4.443118,4264700
2017-09-28,4.500000,4.580000,4.490000,4.560000,4.482437,2192100
2017-09-29,4.580000,4.630000,4.520000,4.540000,4.462777,4306300
2017-10-02,4.540000,4.580000,4.460000,4.530000,4.452948,6285200
2017-10-03,4.560000,4.650000,4.560000,4.590000,4.511927,3955400
2017-10-04,4.000000,4.000000,3.660000,3.780000,3.715704,24534500
2017-10-05,3.810000,3.830000,3.740000,3.790000,3.725534,7652700
2017-10-06,3.810000,3.970000,3.810000,3.940000,3.872983,11638100
2017-10-09,3.940000,3.980000,3.820000,3.840000,3.774684,3442400
2017-10-10,3.880000,3.880000,3.720000,3.760000,3.696044,5925700
2017-10-11,3.750000,3.790000,3.650000,3.690000,3.627235,7156500
2017-10-12,3.710000,3.770000,3.670000,3.740000,3.676385,5718300
2017-10-13,3.760000,3.930000,3.760000,3.810000,3.745194,5145900
2017-10-16,3.830000,3.920000,3.780000,3.780000,3.715704,4739100
2017-10-17,3.790000,3.870000,3.740000,3.760000,3.696044,4578300
2017-10-18,3.790000,3.800000,3.700000,3.700000,3.637065,4369000
2017-10-19,3.670000,3.720000,3.640000,3.670000,3.607576,4943800
2017-10-20,3.700000,3.790000,3.670000,3.780000,3.715704,3936300
2017-10-23,3.800000,3.850000,3.730000,3.730000,3.666555,4773600
2017-10-24,3.780000,3.780000,3.710000,3.730000,3.666555,3615700
2017-10-25,3.710000,3.750000,3.630000,3.710000,3.646895,2850700
2017-10-26,3.710000,3.770000,3.690000,3.730000,3.666555,2887600
2017-10-27,3.720000,3.750000,3.670000,3.720000,3.656725,3210800
2017-10-30,3.500000,3.570000,2.970000,3.040000,2.988291,15483000
2017-10-31,3.100000,3.150000,3.060000,3.100000,3.047271,11247900
2017-11-01,3.110000,3.160000,3.080000,3.120000,3.066931,6688300
2017-11-02,3.100000,3.280000,3.100000,3.190000,3.135740,6914400
2017-11-03,3.190000,3.270000,3.170000,3.230000,3.175060,3873800
2017-11-06,3.210000,3.280000,3.200000,3.220000,3.165230,3075000
2017-11-07,3.190000,3.230000,3.060000,3.090000,3.037441,3673800
2017-11-08,3.080000,3.160000,2.990000,3.010000,2.958802,7726100
2017-11-09,3.220000,3.260000,2.980000,3.240000,3.184890,9967100
2017-11-10,3.290000,3.470000,3.230000,3.270000,3.214379,6815500
2017-11-13,3.280000,3.320000,3.120000,3.150000,3.096421,3469700
2017-11-14,3.140000,3.200000,3.110000,3.140000,3.086590,4271500
2017-11-15,3.150000,3.230000,3.130000,3.180000,3.125910,3132700
2017-11-16,3.200000,3.260000,3.180000,3.240000,3.184890,2719800
2017-11-17,3.230000,3.410000,3.230000,3.280000,3.224209,5231600
2017-11-20,3.280000,3.320000,3.200000,3.260000,3.204549,4264200
2017-11-21,3.270000,3.310000,3.240000,3.300000,3.243869,3971300
2017-11-22,3.270000,3.320000,3.240000,3.250000,3.219106,4368500
2017-11-24,3.250000,3.300000,3.170000,3.180000,3.149772,1614400
2017-11-27,3.190000,3.220000,3.140000,3.180000,3.149772,4660900
2017-11-28,3.180000,3.290000,3.150000,3.270000,3.238916,3579600
2017-11-29,3.290000,3.370000,3.240000,3.370000,3.337966,5071300
2017-11-30,3.330000,3.460000,3.220000,3.270000,3.238916,11703000
2017-12-01,3.250000,3.340000,3.130000,3.210000,3.179487,4821400
2017-12-04,3.280000,3.440000,3.230000,3.370000,3.337966,6112700
2017-12-05,3.370000,3.380000,3.210000,3.270000,3.238916,5538000
2017-12-06,3.270000,3.310000,3.250000,3.260000,3.229012,4742800
2017-12-07,3.250000,3.370000,3.240000,3.310000,3.278536,4415100
2017-12-08,3.340000,3.350000,3.230000,3.270000,3.238916,3274400
2017-12-11,3.290000,3.410000,3.280000,3.380000,3.347871,3394600
2017-12-12,3.410000,3.420000,3.260000,3.280000,3.248821,5024700
2017-12-13,3.280000,3.430000,3.280000,3.430000,3.397396,3755700
2017-12-14,3.430000,3.470000,3.320000,3.360000,3.328061,3575900
2017-12-15,3.370000,3.480000,3.370000,3.440000,3.407300,12256400
2017-12-18,3.460000,3.500000,3.360000,3.430000,3.397396,5075900
2017-12-19,3.420000,3.460000,3.370000,3.370000,3.337966,2365200
2017-12-20,3.400000,3.450000,3.380000,3.430000,3.397396,1737200
2017-12-21,3.440000,3.490000,3.390000,3.470000,3.437015,1753200
2017-12-22,3.490000,3.490000,3.440000,3.440000,3.407300,1614200
2017-12-26,3.500000,3.570000,3.490000,3.540000,3.506350,1677700
2017-12-27,3.540000,3.540000,3.450000,3.510000,3.476635,5013100
2017-12-28,3.500000,3.540000,3.450000,3.540000,3.506350,3680200
2017-12-29,3.530000,3.550000,3.490000,3.540000,3.506350,5763300
2018-01-02,3.550000,3.590000,3.500000,3.560000,3.526160,3798700
2018-01-03,3.580000,3.580000,3.480000,3.500000,3.466730,3053500
2018-01-04,3.520000,3.540000,3.300000,3.360000,3.328061,5425000
2018-01-05,3.420000,3.460000,3.360000,3.400000,3.367681,3138800
2018-01-08,3.430000,3.440000,3.300000,3.400000,3.367681,5735100
2018-01-09,3.380000,3.390000,3.290000,3.350000,3.318156,6332400
2018-01-10,3.350000,3.390000,3.310000,3.370000,3.337966,2975700
2018-01-11,3.410000,3.510000,3.320000,3.510000,3.476635,4392300
2018-01-12,3.540000,3.600000,3.510000,3.590000,3.555875,2566200
2018-01-16,3.600000,3.660000,3.580000,3.610000,3.575684,4902000
2018-01-17,3.600000,3.610000,3.490000,3.500000,3.466730,3501800
2018-01-18,3.500000,3.550000,3.480000,3.510000,3.476635,2303100
2018-01-19,3.500000,3.560000,3.490000,3.550000,3.516255,2829600
2018-01-22,3.520000,3.570000,3.470000,3.540000,3.506350,3897800
2018-01-23,3.500000,3.540000,3.430000,3.490000,3.456825,2790100
2018-01-24,3.500000,3.510000,3.430000,3.460000,3.427110,3921300
2018-01-25,3.490000,3.490000,3.400000,3.430000,3.397396,4947100
2018-01-26,3.460000,3.460000,3.360000,3.430000,3.397396,2609000
2018-01-29,3.430000,3.470000,3.370000,3.390000,3.357776,4934900
2018-01-30,3.380000,3.420000,3.300000,3.300000,3.268631,3989600
2018-01-31,3.330000,3.350000,3.220000,3.250000,3.219106,4510700
2018-02-01,3.240000,3.350000,3.200000,3.320000,3.288441,2640500
