Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,19.920000,20.049999,19.830000,19.920000,18.242788,805200
2017-04-19,19.920000,20.080000,19.840000,19.910000,18.233629,900700
2017-04-20,20.000000,20.000000,19.750000,19.930000,18.251944,1033000
2017-04-21,19.950001,19.969999,19.780001,19.820000,18.151205,831900
2017-04-24,20.040001,20.100000,19.820000,19.990000,18.306892,1085100
2017-04-25,20.059999,20.160000,20.059999,20.070000,18.380156,670900
2017-04-26,20.100000,20.370001,20.070000,20.219999,18.517527,1135900
2017-04-27,20.379999,20.889999,20.370001,20.830000,19.076168,1976200
2017-04-28,20.900000,20.900000,20.570000,20.680000,18.938797,3044300
2017-05-01,20.750000,20.760000,20.590000,20.600000,18.865534,871200
2017-05-02,20.580000,20.639999,20.100000,20.160000,18.462580,1097100
2017-05-03,20.180000,20.379999,20.110001,20.200001,18.499214,973800
2017-05-04,20.270000,20.320000,20.090000,20.209999,18.508368,742800
2017-05-05,20.240000,20.340000,20.160000,20.260000,18.554161,848600
2017-05-08,20.280001,20.320000,20.090000,20.120001,18.425947,590700
2017-05-09,20.139999,20.190001,19.709999,19.760000,18.096258,1354200
2017-05-10,19.770000,19.950001,19.700001,19.850000,18.178682,848400
2017-05-11,19.799999,19.870001,19.610001,19.639999,17.986362,968800
2017-05-12,19.600000,19.620001,19.459999,19.540001,17.894783,1078600
2017-05-15,19.549999,19.740000,19.520000,19.620001,17.968046,1086400
2017-05-16,19.600000,19.760000,19.530001,19.650000,17.995520,1259000
2017-05-17,19.650000,19.650000,19.330000,19.430000,17.794044,1104200
2017-05-18,19.430000,19.540001,19.360001,19.420000,17.784887,807900
2017-05-19,19.450001,19.680000,19.400000,19.639999,17.986362,1671900
2017-05-22,19.690001,19.830000,19.670000,19.809999,18.142048,1296700
2017-05-23,19.820000,19.959999,19.799999,19.900000,18.224468,710600
2017-05-24,19.889999,19.920000,19.770000,19.799999,18.132889,726800
2017-05-25,19.870001,19.959999,19.750000,19.830000,18.160364,773000
2017-05-26,19.860001,19.980000,19.680000,19.740000,18.077944,633700
2017-05-30,19.700001,19.790001,19.430000,19.559999,17.913095,1024100
2017-05-31,19.580000,19.799999,19.410000,19.780001,18.114574,1315100
2017-06-01,19.680000,19.950001,19.660000,19.940001,18.438215,1396000
2017-06-02,19.950001,20.000000,19.850000,19.860001,18.364239,787400
2017-06-05,19.830000,19.860001,19.520000,19.559999,18.086832,1031700
2017-06-06,19.490000,19.610001,19.340000,19.440001,17.975872,948900
2017-06-07,19.500000,19.620001,19.430000,19.430000,17.966625,1520600
2017-06-08,19.410000,19.750000,19.389999,19.670000,18.188549,921300
2017-06-09,19.730000,20.120001,19.590000,20.100000,18.586163,1449100
2017-06-12,20.100000,20.250000,19.959999,19.959999,18.456705,1136000
2017-06-13,19.980000,20.240000,19.879999,20.200001,18.678633,1103000
2017-06-14,20.190001,20.320000,20.080000,20.320000,18.789595,906300
2017-06-15,20.059999,20.520000,20.059999,20.520000,18.974531,1378800
2017-06-16,20.420000,20.520000,20.160000,20.410000,18.872818,2776400
2017-06-19,20.520000,20.559999,20.139999,20.170000,18.650890,1554100
2017-06-20,20.120001,20.170000,19.900000,20.020000,18.512188,733300
2017-06-21,20.080000,20.100000,19.790001,19.820000,18.327251,796700
