Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,43.270653,43.613163,43.270653,43.472130,42.613525,1372300
2017-05-03,43.270653,44.103424,43.176628,43.955673,43.087521,2024400
2017-05-04,43.895233,43.995972,43.606449,43.848221,42.982182,1828800
2017-05-05,43.989254,44.627266,43.888515,44.613834,43.732681,2020400
2017-05-08,44.412357,44.721291,44.217594,44.385494,43.508846,1923600
2017-05-09,45.319008,46.359974,45.171257,45.486904,44.588505,4303200
2017-05-10,45.466755,45.480186,44.231026,44.311619,43.436436,2721100
2017-05-11,44.103424,44.103424,43.438549,43.693756,42.830772,1779700
2017-05-12,43.465412,43.700470,43.364674,43.411686,42.554272,1211700
2017-05-15,43.734051,44.049698,43.619881,43.982540,43.113853,1587300
2017-05-16,44.089993,44.103424,43.673607,43.989254,43.120434,1283200
2017-05-17,43.989254,44.042980,43.297516,43.801208,42.936108,2340400
2017-05-18,44.660847,44.775017,43.895233,44.291470,43.416679,1764300
2017-05-19,44.573540,45.319008,44.385494,45.070518,44.180344,1292200
2017-05-22,45.339153,45.567493,45.198120,45.433178,44.535843,994400
2017-05-23,45.453323,45.466755,44.278038,44.425789,43.548347,1994800
2017-05-24,44.499664,44.875755,44.492947,44.721291,43.838013,988200
2017-05-25,44.795166,44.949631,44.365345,44.694427,43.811680,847200
2017-05-26,44.627266,44.627266,44.257893,44.492947,43.614182,1623300
2017-05-30,44.472801,44.869041,44.311619,44.761585,43.877510,654100
2017-05-31,44.660847,44.674278,44.049698,44.472801,43.594429,2084000
2017-06-01,44.432507,44.822029,43.680321,44.486233,43.607601,2200600
2017-06-02,44.472801,44.788448,44.257893,44.459370,43.581264,1225300
2017-06-05,44.412357,44.539959,43.875084,43.895233,43.028267,1003400
2017-06-06,43.640026,43.666889,43.082607,43.445267,42.587193,1671100
2017-06-07,43.478844,43.707188,42.874413,43.223640,42.369946,1183500
2017-06-08,43.223640,43.653458,42.881126,43.478844,42.620102,1375800
2017-06-09,43.465412,44.613834,43.451981,44.499664,43.620766,1885100
2017-06-12,44.640697,45.063801,44.432507,44.546677,43.666847,994500
2017-06-13,44.432507,44.768299,44.237743,44.680992,43.798512,773100
2017-06-14,44.875755,44.902618,44.385494,44.660847,43.778763,1075400
2017-06-15,44.257893,44.674278,44.231026,44.560108,43.680016,820400
2017-06-16,44.660847,45.023506,44.479515,44.781734,43.897266,1538700
2017-06-19,44.882473,45.157825,44.620552,45.157825,44.265923,874200
2017-06-20,44.835461,44.895905,44.439220,44.654129,43.772179,829100
2017-06-21,44.721291,44.721291,43.539288,43.599731,42.738602,944200
2017-06-22,43.593014,43.955673,43.505707,43.626595,42.764935,1256300
2017-06-23,43.673607,44.110142,43.673607,44.076561,43.206017,1659900
2017-06-26,44.204163,44.519814,43.854935,44.083279,43.212605,625100
2017-06-27,44.110142,44.291470,43.693756,43.713902,42.850525,657200
2017-06-28,44.063129,44.472801,43.989254,44.358631,43.482513,931800
2017-06-29,44.472801,44.620552,43.942242,44.069847,43.199432,970700
2017-06-30,44.244461,44.963062,44.076561,44.687710,43.805099,875800
2017-07-03,45.003357,45.211552,44.701141,45.016788,44.127678,615400
2017-07-05,45.057087,45.171257,44.627266,44.788448,43.903843,1045700
2017-07-06,44.687710,44.808598,44.036266,44.063129,43.192852,1276500
2017-07-07,44.137005,44.842175,44.137005,44.748154,43.864346,964000
2017-07-10,44.761585,45.366016,44.479515,44.902618,44.015762,889500
