Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,74.599998,75.400002,74.449997,75.099998,74.083870,163200
2017-04-19,75.699997,75.800003,74.849998,75.099998,74.083870,138200
2017-04-20,75.699997,76.949997,75.250000,76.400002,75.366287,163200
2017-04-21,76.599998,76.750000,75.699997,76.150002,75.119659,164100
2017-04-24,77.750000,78.199997,77.080002,78.099998,77.043282,178600
2017-04-25,78.650002,79.250000,78.150002,78.550003,77.487198,174900
2017-04-26,78.650002,79.459999,78.150002,78.400002,77.339233,414800
2017-04-27,78.349998,79.699997,78.150002,79.400002,78.325699,221900
2017-04-28,79.849998,79.849998,78.550003,78.849998,77.783142,268100
2017-05-01,79.449997,80.000000,78.599998,79.250000,78.177734,178000
2017-05-02,79.099998,79.800003,78.400002,79.349998,78.276375,183600
2017-05-03,78.699997,79.300003,77.699997,78.699997,77.635162,226500
2017-05-04,78.849998,79.099998,77.750000,78.750000,77.684494,197100
2017-05-05,80.000000,83.199997,79.500000,83.000000,81.876984,266400
2017-05-08,82.800003,83.650002,82.800003,83.099998,81.975632,386000
2017-05-09,80.150002,82.250000,78.900002,79.500000,78.424339,401700
2017-05-10,80.199997,80.699997,79.050003,80.699997,79.608101,329500
2017-05-11,80.300003,80.900002,78.800003,79.750000,78.670959,193500
2017-05-12,79.150002,79.300003,77.699997,78.099998,77.043282,327800
2017-05-15,78.750000,78.750000,77.900002,78.000000,76.944641,291300
2017-05-16,78.050003,78.699997,77.650002,78.650002,77.585838,246900
2017-05-17,78.650002,78.650002,76.400002,76.900002,75.859528,196500
2017-05-18,76.750000,78.050003,75.650002,77.699997,76.648697,305500
2017-05-19,78.199997,79.199997,76.949997,78.449997,77.388542,203100
2017-05-22,78.800003,79.349998,78.680000,79.099998,78.029747,147700
2017-05-23,79.500000,80.500000,78.449997,80.400002,79.312164,315400
2017-05-24,80.400002,80.580002,78.449997,79.300003,78.227051,187500
2017-05-25,79.550003,79.650002,78.750000,79.099998,78.029747,129600
2017-05-26,78.900002,79.300003,78.459999,78.900002,77.832458,92300
2017-05-30,78.750000,78.879997,78.199997,78.849998,77.783142,99000
2017-05-31,79.150002,79.330002,77.099998,79.199997,78.128395,244700
2017-06-01,79.650002,81.949997,79.000000,81.750000,80.643906,358300
2017-06-02,81.949997,83.650002,81.500000,82.300003,81.186470,373200
2017-06-05,82.300003,82.349998,81.250000,81.300003,80.199997,101100
2017-06-06,80.800003,81.900002,79.900002,81.250000,80.150673,179000
2017-06-07,81.199997,81.699997,79.800003,80.349998,79.262840,127100
2017-06-08,80.500000,82.650002,80.099998,81.800003,80.693222,173500
2017-06-09,82.250000,83.000000,81.800003,82.500000,81.383751,224700
2017-06-12,82.849998,83.300003,81.849998,81.849998,80.742546,173800
2017-06-13,82.300003,82.300003,81.650002,82.000000,80.890518,151300
2017-06-14,82.050003,82.099998,81.000000,81.750000,80.643906,131300
2017-06-15,80.500000,81.699997,80.279999,81.550003,80.446609,150400
2017-06-16,81.500000,81.650002,80.849998,81.400002,80.298637,412600
2017-06-19,81.949997,82.000000,81.199997,81.699997,80.594566,408700
2017-06-20,81.300003,81.650002,80.250000,80.250000,79.164200,137700
2017-06-21,80.449997,80.449997,78.150002,78.199997,77.141930,666400
2017-06-22,78.250000,80.050003,78.250000,79.650002,78.572319,327100
2017-06-23,79.750000,79.970001,78.800003,79.349998,78.276375,616100
2017-06-26,79.900002,80.300003,79.199997,80.250000,79.164200,211900
2017-06-27,80.949997,81.150002,79.699997,79.699997,78.621628,170300
2017-06-28,79.949997,80.500000,79.250000,79.949997,79.126381,455000
2017-06-29,80.050003,80.800003,78.550003,79.449997,78.631531,298300
2017-06-30,79.800003,81.949997,79.650002,81.550003,80.709900,266400
2017-07-03,82.050003,82.349998,81.699997,82.150002,81.303719,99700
2017-07-05,81.849998,82.349998,81.500000,81.949997,81.105774,171500
2017-07-06,81.650002,82.449997,81.650002,82.300003,81.452179,353500
2017-07-07,82.400002,83.550003,81.830002,83.500000,82.639816,221900
2017-07-10,83.400002,84.599998,82.949997,84.150002,83.283119,224600
2017-07-11,84.099998,84.849998,83.550003,84.550003,83.679001,315800
2017-07-12,85.000000,85.849998,84.050003,84.199997,83.332596,401400
2017-07-13,84.250000,84.779999,83.849998,84.599998,83.728477,251100
2017-07-14,84.550003,84.800003,84.099998,84.150002,83.283119,310000
2017-07-17,84.150002,84.500000,83.550003,84.199997,83.332596,110600
2017-07-18,84.050003,84.949997,83.400002,84.800003,83.926430,281200
2017-07-19,85.000000,86.699997,83.550003,86.599998,85.707870,278600
2017-07-20,86.750000,87.500000,86.000000,86.750000,85.856331,238200
2017-07-21,86.500000,86.550003,85.059998,85.250000,84.371780,189100
2017-07-24,85.300003,85.849998,84.500000,84.949997,84.074875,156300
2017-07-25,85.750000,86.599998,85.400002,85.800003,84.916122,301700
2017-07-26,85.750000,86.250000,84.000000,84.400002,83.530548,238100
2017-07-27,84.699997,84.800003,83.900002,84.699997,83.827438,154600
2017-07-28,84.599998,85.000000,83.400002,83.800003,82.936722,168600
2017-07-31,83.900002,84.150002,82.800003,83.349998,82.491364,266600
2017-08-01,83.599998,83.599998,81.949997,82.349998,81.501656,326700
2017-08-02,82.300003,82.900002,81.949997,82.599998,81.749077,173900
2017-08-03,82.599998,83.500000,82.199997,83.400002,82.540840,264900
2017-08-04,83.800003,84.650002,83.550003,83.949997,83.085175,326800
2017-08-07,84.000000,84.400002,82.599998,84.349998,83.481056,297300
2017-08-08,82.000000,82.250000,79.800003,81.300003,80.462479,399300
2017-08-09,80.900002,81.400002,80.199997,80.349998,79.522263,334100
2017-08-10,79.650002,79.750000,77.699997,79.050003,78.235657,492400
2017-08-11,77.949997,79.449997,77.949997,78.849998,78.037712,378700
2017-08-14,79.500000,79.900002,78.699997,79.099998,78.285133,256700
2017-08-15,79.099998,79.449997,78.550003,78.550003,77.740807,261400
2017-08-16,78.750000,79.029999,78.400002,78.599998,77.790291,259900
2017-08-17,78.449997,78.449997,76.349998,76.400002,75.612953,342800
2017-08-18,76.150002,76.949997,75.849998,76.050003,75.266563,317700
2017-08-21,76.050003,76.650002,75.650002,75.650002,74.870674,267300
2017-08-22,76.150002,77.050003,76.050003,76.500000,75.711922,204000
2017-08-23,75.900002,76.250000,74.800003,75.000000,74.227371,296500
2017-08-24,75.050003,75.599998,72.699997,72.800003,72.050049,377500
2017-08-25,73.150002,73.750000,73.000000,73.650002,72.891281,364700
2017-08-28,73.699997,74.050003,72.800003,73.349998,72.594376,414700
2017-08-29,72.800003,73.900002,72.150002,73.800003,73.039742,310200
2017-08-30,73.599998,74.250000,73.150002,74.099998,73.336647,221500
2017-08-31,74.449997,75.550003,74.000000,75.400002,74.623260,273200
2017-09-01,75.550003,75.949997,75.099998,75.400002,74.623260,142500
2017-09-05,75.500000,75.800003,73.800003,74.050003,73.287163,149400
2017-09-06,74.449997,74.800003,73.470001,74.500000,73.732529,250700
2017-09-07,74.650002,74.650002,73.150002,74.300003,73.534592,134600
2017-09-08,74.250000,75.650002,73.949997,75.550003,74.771713,218300
2017-09-11,76.199997,77.050003,75.849998,76.800003,76.008835,240900
2017-09-12,77.099998,77.449997,76.550003,77.449997,76.652130,104200
2017-09-13,77.400002,78.000000,77.099998,77.849998,77.048012,146600
2017-09-14,77.800003,78.400002,76.680000,77.650002,76.850075,163700
2017-09-15,77.500000,77.550003,76.349998,77.050003,76.256264,453000
2017-09-18,77.349998,78.349998,77.349998,77.949997,77.146988,179800
2017-09-19,78.099998,78.400002,77.449997,78.300003,77.493385,213900
2017-09-20,78.550003,79.449997,77.800003,78.699997,77.889252,178100
2017-09-21,78.650002,78.949997,78.449997,78.500000,77.691322,131700
2017-09-22,78.550003,78.949997,78.300003,78.750000,77.938751,216900
2017-09-25,78.650002,79.050003,78.349998,78.900002,78.087196,227600
2017-09-26,79.300003,79.300003,78.349998,78.550003,77.740807,402500
2017-09-27,79.000000,79.949997,78.349998,79.699997,78.878952,268400
2017-09-28,79.300003,80.000000,79.000000,79.800003,79.236412,252500
2017-09-29,79.849998,80.199997,78.900002,79.000000,78.442062,358900
2017-10-02,79.150002,81.150002,78.849998,80.800003,80.229355,284300
2017-10-03,80.550003,80.750000,79.699997,80.250000,79.683243,242600
2017-10-04,79.949997,80.650002,79.800003,80.250000,79.683243,186200
2017-10-05,80.400002,80.699997,79.449997,79.650002,79.087471,213300
2017-10-06,79.000000,79.900002,78.500000,78.550003,77.995247,356500
2017-10-09,78.949997,79.300003,78.550003,78.800003,78.243484,190400
2017-10-10,79.550003,79.800003,78.400002,78.650002,78.094543,154900
2017-10-11,78.400002,78.900002,78.300003,78.800003,78.243484,184300
2017-10-12,78.599998,80.250000,78.599998,79.900002,79.335709,193500
2017-10-13,80.250000,80.750000,79.699997,79.750000,79.186768,177800
2017-10-16,80.250000,80.349998,79.150002,79.599998,79.037827,140100
2017-10-17,79.750000,80.099998,78.800003,78.800003,78.243484,217600
2017-10-18,78.849998,79.500000,78.629997,78.699997,78.144180,206600
2017-10-19,78.400002,79.300003,78.050003,79.250000,78.690300,190200
2017-10-20,79.800003,80.050003,79.150002,79.900002,79.335709,136600
2017-10-23,79.849998,79.849998,78.699997,78.900002,78.342773,134600
2017-10-24,79.050003,79.550003,78.599998,78.800003,78.243484,274000
2017-10-25,78.750000,79.650002,78.199997,78.849998,78.293121,255400
2017-10-26,78.949997,81.599998,78.800003,81.400002,80.825111,301100
2017-10-27,81.400002,81.500000,80.300003,81.099998,80.527229,198100
2017-10-30,80.849998,80.949997,80.250000,80.300003,79.732887,170200
2017-10-31,80.800003,81.900002,80.620003,81.150002,80.576881,283600
2017-11-01,81.699997,81.849998,79.650002,79.800003,79.236412,335800
2017-11-02,79.699997,80.500000,79.699997,80.199997,79.633583,389200
2017-11-03,80.349998,81.550003,79.250000,80.699997,80.130058,348900
2017-11-06,78.449997,79.750000,76.000000,77.449997,76.903008,583100
2017-11-07,77.550003,77.949997,76.199997,76.349998,75.810776,301800
2017-11-08,76.449997,77.800003,75.900002,77.550003,77.002312,270000
2017-11-09,76.900002,77.300003,76.279999,76.949997,76.406540,228400
2017-11-10,76.650002,77.650002,76.349998,77.349998,76.803719,342500
2017-11-13,77.000000,77.000000,75.949997,76.400002,75.860428,182100
2017-11-14,75.849998,76.099998,75.300003,75.500000,74.966782,213000
2017-11-15,75.000000,75.000000,73.699997,73.800003,73.278793,367000
2017-11-16,74.099998,75.500000,73.550003,75.300003,74.768204,414400
2017-11-17,74.900002,76.449997,74.500000,75.900002,75.363960,289700
2017-11-20,76.550003,76.650002,75.500000,76.349998,75.810776,214300
2017-11-21,76.750000,76.800003,75.599998,76.250000,75.711487,195200
2017-11-22,76.150002,76.650002,75.849998,76.099998,75.562546,121000
2017-11-24,76.199997,76.199997,75.599998,75.800003,75.264664,66200
2017-11-27,75.750000,75.879997,74.800003,75.250000,74.718552,334700
2017-11-28,75.500000,76.849998,75.449997,76.650002,76.108665,197300
2017-11-29,76.650002,76.949997,75.699997,76.949997,76.406540,260600
2017-11-30,77.449997,78.050003,76.599998,76.949997,76.406540,315600
2017-12-01,77.150002,77.150002,74.550003,76.250000,75.711487,308000
2017-12-04,77.050003,78.750000,77.050003,77.150002,76.605133,269800
2017-12-05,76.900002,77.599998,75.099998,75.400002,74.867493,222100
2017-12-06,75.250000,76.449997,74.750000,75.349998,74.817841,226500
2017-12-07,75.449997,76.500000,75.250000,76.400002,75.860428,232800
2017-12-08,77.000000,77.000000,76.150002,76.300003,75.761131,230400
2017-12-11,76.349998,76.349998,75.199997,75.599998,75.066078,236400
2017-12-12,75.650002,76.849998,75.449997,76.000000,75.463249,159900
2017-12-13,75.849998,76.550003,75.699997,75.900002,75.363960,201000
2017-12-14,76.199997,76.349998,74.550003,74.599998,74.073135,221700
2017-12-15,75.099998,76.949997,75.099998,76.150002,75.612190,379300
2017-12-18,77.000000,78.500000,77.000000,78.199997,77.647705,318300
2017-12-19,78.400002,78.800003,78.099998,78.150002,77.598068,337900
2017-12-20,78.800003,79.250000,78.599998,78.900002,78.342773,155500
2017-12-21,79.099998,79.099998,77.800003,78.000000,77.449127,178000
2017-12-22,78.250000,78.250000,77.250000,77.500000,76.952660,152100
2017-12-26,77.599998,78.050003,76.349998,77.750000,77.200890,162300
2017-12-27,78.050003,78.400002,76.949997,77.550003,77.002312,183100
2017-12-28,77.449997,77.500000,76.099998,77.400002,77.111900,233100
2017-12-29,77.449997,77.900002,76.500000,76.599998,76.314873,176100
2018-01-02,77.550003,77.699997,76.300003,77.349998,77.062080,225100
2018-01-03,77.800003,78.550003,77.199997,78.500000,78.207802,249300
2018-01-04,78.849998,79.629997,78.699997,79.150002,78.855385,386700
2018-01-05,79.150002,79.400002,78.300003,79.199997,78.905197,301800
2018-01-08,79.199997,80.300003,79.050003,79.650002,79.353523,204000
2018-01-09,79.699997,79.699997,78.300003,78.400002,78.108177,392400
2018-01-10,78.050003,78.699997,76.550003,76.800003,76.514137,322600
2018-01-11,77.050003,78.099998,76.349998,78.000000,77.709663,246200
2018-01-12,78.250000,78.500000,77.750000,78.050003,77.759483,172000
2018-01-16,78.500000,79.699997,77.930000,78.449997,78.157990,293800
2018-01-17,78.949997,79.250000,78.300003,78.750000,78.456871,245400
2018-01-18,78.750000,79.000000,77.849998,78.000000,77.709663,226000
2018-01-19,78.250000,79.699997,77.900002,79.400002,79.104454,398900
2018-01-22,79.000000,79.699997,78.300003,79.199997,78.905197,261300
2018-01-23,79.099998,79.150002,78.349998,78.500000,78.207802,220600
2018-01-24,78.849998,79.599998,78.220001,79.250000,78.955009,299400
2018-01-25,79.550003,79.550003,77.699997,78.500000,78.207802,430400
2018-01-26,78.900002,79.900002,77.699997,79.650002,79.353523,186100
2018-01-29,79.400002,80.550003,79.080002,79.250000,78.955009,244700
2018-01-30,78.800003,79.400002,78.250000,78.849998,78.556496,173000
2018-01-31,79.449997,79.650002,77.800003,77.900002,77.610039,283100
2018-02-01,77.800003,79.400002,77.199997,78.650002,78.357246,264700
2018-02-02,78.000000,78.400002,76.470001,77.000000,76.713387,396700
2018-02-05,76.349998,76.550003,71.949997,72.000000,71.731995,1014800
2018-02-06,74.150002,76.550003,71.400002,73.699997,73.425667,853100
2018-02-07,74.250000,76.800003,74.000000,75.599998,75.318596,484800
2018-02-08,75.599998,75.949997,73.849998,73.949997,73.674736,735500
2018-02-09,75.199997,75.849998,72.449997,75.150002,74.870277,527400
2018-02-12,75.900002,76.599998,75.050003,76.000000,75.717110,500500
2018-02-13,75.699997,75.800003,74.199997,74.449997,74.172874,289900
2018-02-14,74.099998,75.750000,74.000000,75.599998,75.318596,233300
2018-02-15,76.250000,76.250000,75.050003,75.949997,75.667290,309100
2018-02-16,75.750000,76.550003,74.250000,74.699997,74.421944,491700
2018-02-20,74.250000,74.349998,73.050003,73.449997,73.176598,467700
2018-02-21,73.550003,75.000000,73.150002,73.199997,72.927528,373600
2018-02-22,73.800003,74.529999,73.349998,74.150002,73.873993,210400
2018-02-23,74.699997,74.699997,73.250000,73.849998,73.575111,217700
2018-02-26,74.300003,75.000000,73.300003,74.949997,74.671013,171600
2018-02-27,74.750000,75.599998,73.400002,73.599998,73.326042,298100
2018-02-28,74.099998,75.000000,72.150002,72.300003,72.030884,470400
2018-03-01,72.000000,72.050003,69.449997,69.750000,69.490372,407500
2018-03-02,69.050003,70.080002,67.839996,69.800003,69.540192,431800
2018-03-05,69.449997,71.400002,69.449997,70.900002,70.636093,370300
2018-03-06,71.300003,72.900002,70.800003,72.449997,72.180321,356600
2018-03-07,71.650002,72.650002,71.250000,72.250000,71.981064,234000
2018-03-08,72.599998,73.029999,71.150002,72.750000,72.479210,274600
2018-03-09,73.300003,74.599998,73.099998,74.300003,74.023438,145500
2018-03-12,74.500000,76.050003,74.099998,74.199997,73.923805,267400
2018-03-13,74.550003,74.900002,73.349998,74.050003,73.774368,257000
2018-03-14,74.800003,74.949997,73.650002,74.449997,74.172874,283500
2018-03-15,74.449997,74.750000,73.000000,73.300003,73.027161,202300
2018-03-16,73.400002,75.199997,73.400002,74.699997,74.421944,379500
2018-03-19,74.349998,74.550003,73.250000,74.150002,73.873993,197200
2018-03-20,74.199997,75.099998,73.949997,74.449997,74.172874,270900
2018-03-21,74.349998,74.349998,73.349998,73.500000,73.226418,262200
2018-03-22,72.849998,73.750000,71.849998,72.099998,71.831627,437000
2018-03-23,72.300003,72.300003,69.900002,70.000000,69.739441,258900
2018-03-26,71.099998,71.800003,69.400002,70.500000,70.237579,217000
2018-03-27,71.000000,71.349998,69.250000,69.849998,69.589996,363500
2018-03-28,69.800003,70.000000,69.000000,69.949997,69.949997,399800
2018-03-29,70.500000,73.949997,70.099998,73.349998,73.349998,475400
2018-04-02,72.949997,73.000000,69.750000,70.500000,70.500000,561400
2018-04-03,71.050003,71.650002,70.099998,71.599998,71.599998,319100
2018-04-04,69.750000,72.449997,69.599998,72.349998,72.349998,463800
2018-04-05,72.750000,73.879997,72.400002,73.599998,73.599998,257600
2018-04-06,72.900002,73.330002,71.150002,71.599998,71.599998,307600
2018-04-09,71.849998,72.199997,70.500000,70.650002,70.650002,228400
2018-04-10,71.949997,73.949997,71.580002,72.550003,72.550003,280200
2018-04-11,72.199997,72.720001,71.550003,72.500000,72.500000,183100
2018-04-12,72.849998,73.300003,72.279999,72.400002,72.400002,359400
2018-04-13,72.900002,72.900002,71.379997,72.199997,72.199997,283200
2018-04-16,72.900002,74.320000,72.500000,74.099998,74.099998,265600
2018-04-17,74.500000,74.849998,73.949997,74.449997,74.449997,238800
