Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,14.040000,14.040000,13.510000,13.560000,13.560000,3448200
2017-05-02,13.930000,13.930000,12.930000,12.950000,12.950000,3295400
2017-05-03,12.890000,13.170000,12.770000,13.050000,13.050000,2984100
2017-05-04,12.970000,12.970000,12.390000,12.810000,12.810000,4868500
2017-05-05,12.880000,14.020000,12.770000,13.990000,13.990000,3491400
2017-05-08,13.910000,13.970000,13.590000,13.790000,13.790000,2240300
2017-05-09,13.870000,13.880000,13.510000,13.770000,13.770000,1795500
2017-05-10,13.910000,14.080000,13.760000,13.920000,13.920000,2373200
2017-05-11,14.110000,14.200000,13.800000,13.840000,13.840000,1807100
2017-05-12,13.770000,13.870000,13.120000,13.190000,13.190000,1938700
2017-05-15,13.710000,13.850000,13.270000,13.430000,13.430000,2312200
2017-05-16,13.570000,13.650000,13.360000,13.470000,13.470000,1850300
2017-05-17,13.470000,13.480000,13.120000,13.310000,13.310000,2761900
2017-05-18,13.250000,13.880000,13.230000,13.530000,13.530000,3546000
2017-05-19,13.680000,13.830000,13.590000,13.760000,13.760000,2275200
2017-05-22,13.990000,14.130000,13.780000,13.970000,13.970000,3143900
2017-05-23,13.970000,14.030000,13.700000,13.900000,13.900000,1937500
2017-05-24,13.850000,14.110000,13.750000,13.830000,13.830000,2086300
2017-05-25,13.690000,13.990000,12.480000,12.480000,12.480000,4541200
2017-05-26,12.510000,12.630000,12.220000,12.290000,12.290000,3270800
2017-05-30,12.930000,12.930000,12.410000,12.520000,12.520000,3877100
2017-05-31,12.320000,12.400000,11.630000,12.040000,12.040000,6147700
2017-06-01,12.070000,12.610000,12.020000,12.300000,12.300000,3290700
2017-06-02,12.130000,12.190000,11.830000,12.080000,12.080000,2820700
2017-06-05,11.990000,12.490000,11.960000,12.090000,12.090000,3823800
2017-06-06,12.030000,12.420000,11.770000,12.340000,12.340000,3581200
2017-06-07,12.230000,12.440000,11.420000,11.460000,11.460000,3363100
2017-06-08,11.370000,11.640000,11.300000,11.480000,11.480000,3463900
2017-06-09,11.570000,12.470000,11.370000,11.980000,11.980000,5530700
2017-06-12,12.320000,12.870000,12.270000,12.400000,12.400000,6358300
2017-06-13,12.400000,13.110000,12.390000,13.000000,13.000000,4703700
2017-06-14,12.950000,12.950000,12.220000,12.550000,12.550000,4874900
2017-06-15,12.310000,12.680000,12.050000,12.120000,12.120000,2840900
2017-06-16,12.180000,12.340000,11.990000,12.090000,12.090000,4624000
2017-06-19,12.120000,12.310000,11.910000,11.970000,11.970000,3872900
2017-06-20,11.720000,11.730000,11.190000,11.380000,11.380000,4942100
2017-06-21,11.130000,11.130000,10.400000,10.480000,10.480000,5347200
2017-06-22,10.550000,10.780000,10.280000,10.280000,10.280000,5997100
2017-06-23,10.370000,10.740000,10.040000,10.630000,10.630000,19343700
2017-06-26,10.630000,10.920000,10.480000,10.730000,10.730000,4195300
2017-06-27,10.800000,10.940000,10.440000,10.510000,10.510000,5113800
2017-06-28,10.520000,11.040000,10.500000,10.560000,10.560000,3690900
2017-06-29,10.640000,11.100000,10.500000,10.600000,10.600000,4462500
2017-06-30,10.520000,10.710000,10.090000,10.240000,10.240000,6421700
2017-07-03,10.350000,11.320000,10.330000,11.050000,11.050000,3002200
2017-07-05,10.910000,10.980000,10.490000,10.700000,10.700000,4556800
2017-07-06,10.740000,10.910000,10.320000,10.330000,10.330000,5200100
