Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,11.660000,11.840000,11.500000,11.640000,11.640000,8017900
2017-04-19,11.690000,11.770000,11.210000,11.270000,11.270000,10541000
2017-04-20,11.300000,11.590000,11.180000,11.380000,11.380000,8981700
2017-04-21,11.300000,11.380000,11.160000,11.300000,11.300000,8214300
2017-04-24,11.460000,11.530000,11.320000,11.370000,11.370000,9586000
2017-04-25,11.410000,11.580000,11.320000,11.460000,11.460000,8820900
2017-04-26,11.390000,11.870000,11.360000,11.450000,11.450000,9334800
2017-04-27,11.300000,11.300000,10.790000,11.060000,11.060000,13019200
2017-04-28,11.220000,11.260000,10.970000,11.030000,11.030000,11735300
2017-05-01,11.000000,11.030000,10.650000,10.660000,10.660000,10141700
2017-05-02,10.750000,10.770000,10.390000,10.420000,10.420000,11094100
2017-05-03,10.400000,10.910000,10.200000,10.760000,10.760000,27303300
2017-05-04,10.510000,10.550000,10.030000,10.340000,10.340000,19932900
2017-05-05,10.420000,11.190000,10.410000,11.180000,11.180000,16734100
2017-05-08,11.150000,11.290000,11.010000,11.140000,11.140000,9248300
2017-05-09,11.160000,11.190000,10.880000,10.960000,10.960000,9615100
2017-05-10,11.080000,11.300000,11.020000,11.170000,11.170000,11128600
2017-05-11,11.290000,11.390000,11.070000,11.080000,11.080000,7737900
2017-05-12,11.070000,11.070000,10.540000,10.620000,10.620000,9276500
2017-05-15,10.990000,11.140000,10.700000,10.800000,10.800000,14208700
2017-05-16,10.930000,11.000000,10.640000,10.690000,10.690000,10136500
2017-05-17,10.690000,10.690000,10.250000,10.390000,10.390000,11362100
2017-05-18,10.250000,10.600000,10.210000,10.460000,10.460000,9194900
2017-05-19,10.540000,10.650000,10.450000,10.520000,10.520000,17309500
2017-05-22,10.640000,10.720000,10.480000,10.500000,10.500000,13065600
2017-05-23,10.500000,10.730000,10.440000,10.610000,10.610000,8622600
2017-05-24,10.580000,10.700000,10.330000,10.440000,10.440000,8992000
2017-05-25,10.330000,10.510000,9.630000,9.650000,9.650000,21492400
2017-05-26,9.780000,9.790000,9.450000,9.560000,9.560000,13993000
2017-05-30,9.560000,9.700000,9.250000,9.260000,9.260000,13040800
2017-05-31,9.130000,9.140000,8.680000,9.090000,9.090000,22256800
2017-06-01,9.100000,9.360000,9.080000,9.230000,9.230000,16562000
2017-06-02,9.090000,9.100000,8.880000,9.030000,9.030000,12485600
2017-06-05,8.960000,9.210000,8.930000,9.070000,9.070000,10673600
2017-06-06,9.020000,9.140000,8.810000,9.100000,9.100000,12226600
2017-06-07,9.010000,9.140000,8.480000,8.590000,8.590000,18908400
2017-06-08,8.590000,8.740000,8.400000,8.420000,8.420000,14973400
2017-06-09,8.500000,8.940000,8.380000,8.810000,8.810000,23494000
2017-06-12,8.950000,9.220000,8.850000,8.900000,8.900000,20545400
2017-06-13,8.870000,9.210000,8.850000,9.160000,9.160000,12194100
2017-06-14,9.100000,9.110000,8.460000,8.690000,8.690000,18418900
2017-06-15,8.550000,8.800000,8.470000,8.560000,8.560000,10718900
2017-06-16,8.610000,8.660000,8.440000,8.620000,8.620000,14758100
2017-06-19,8.610000,8.680000,8.490000,8.560000,8.560000,8208700
2017-06-20,8.400000,8.410000,8.090000,8.200000,8.200000,15293900
2017-06-21,8.160000,8.180000,7.670000,7.790000,7.790000,18754800
2017-06-22,7.870000,8.020000,7.790000,7.870000,7.870000,9583900
2017-06-23,7.960000,8.120000,7.890000,8.090000,8.090000,13861800
2017-06-26,8.100000,8.270000,8.010000,8.150000,8.150000,10914300
2017-06-27,8.230000,8.340000,8.050000,8.070000,8.070000,12540300
2017-06-28,8.040000,8.420000,8.020000,8.200000,8.200000,13111900
2017-06-29,8.260000,8.550000,8.140000,8.310000,8.310000,21599400
2017-06-30,8.360000,8.500000,8.130000,8.230000,8.230000,15675100
2017-07-03,8.300000,8.830000,8.290000,8.670000,8.670000,10057800
2017-07-05,8.580000,8.600000,8.220000,8.280000,8.280000,14592800
2017-07-06,8.320000,8.410000,8.000000,8.040000,8.040000,14967800
2017-07-07,7.980000,8.000000,7.730000,7.880000,7.880000,14657400
2017-07-10,7.860000,8.100000,7.790000,8.040000,8.040000,9480800
