Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,19.080000,19.190001,18.780001,19.010000,19.010000,1940800
2017-05-02,19.020000,19.490000,18.959999,19.440001,19.440001,2610500
2017-05-03,19.510000,19.790001,19.410000,19.639999,19.639999,2400200
2017-05-04,19.950001,21.010000,19.750000,19.860001,19.860001,5158000
2017-05-05,19.900000,20.129999,19.629999,19.860001,19.860001,2485000
2017-05-08,19.730000,19.940001,19.530001,19.790001,19.790001,1914000
2017-05-09,19.910000,20.540001,19.910000,20.400000,20.400000,3142900
2017-05-10,20.330000,20.570000,20.270000,20.420000,20.420000,1848500
2017-05-11,20.320000,20.600000,19.990000,20.350000,20.350000,2042100
2017-05-12,20.270000,20.379999,19.990000,20.080000,20.080000,1894000
2017-05-15,20.100000,20.260000,19.980000,19.990000,19.990000,1852000
2017-05-16,19.879999,19.959999,19.559999,19.700001,19.700001,2440900
2017-05-17,19.700001,19.809999,18.680000,18.700001,18.700001,3958300
2017-05-18,18.700001,18.920000,18.430000,18.440001,18.440001,1613400
2017-05-19,18.480000,18.570000,18.139999,18.320000,18.320000,3387900
2017-05-22,18.370001,18.600000,18.170000,18.230000,18.230000,2648800
2017-05-23,18.180000,18.270000,17.540001,17.559999,17.559999,2366000
2017-05-24,17.750000,17.850000,17.260000,17.379999,17.379999,2240500
2017-05-25,17.570000,17.940001,17.450001,17.469999,17.469999,2762600
2017-05-26,17.620001,17.799999,17.360001,17.719999,17.719999,3680700
2017-05-30,17.709999,18.049999,17.690001,17.870001,17.870001,2128200
2017-05-31,17.959999,18.049999,17.780001,18.020000,18.020000,1708300
2017-06-01,17.959999,18.340000,17.870001,18.260000,18.260000,1926700
2017-06-02,18.090000,18.420000,18.000000,18.000000,18.000000,2397000
2017-06-05,18.000000,18.040001,17.700001,17.730000,17.730000,1110600
2017-06-06,17.750000,17.820000,17.389999,17.540001,17.540001,2233400
2017-06-07,17.750000,18.670000,17.620001,18.299999,18.299999,7433100
2017-06-08,18.350000,18.799999,18.250000,18.440001,18.440001,2196200
2017-06-09,18.570000,19.469999,18.490000,19.430000,19.430000,2540500
2017-06-12,19.450001,20.049999,19.410000,19.459999,19.459999,2577000
2017-06-13,19.400000,19.549999,19.020000,19.309999,19.309999,2101500
2017-06-14,19.360001,19.500000,19.120001,19.450001,19.450001,1555600
2017-06-15,19.309999,19.590000,19.219999,19.520000,19.520000,1982100
2017-06-16,19.389999,19.510000,18.920000,19.180000,19.180000,3051800
2017-06-19,19.200001,19.400000,18.879999,19.360001,19.360001,1522000
2017-06-20,19.330000,19.400000,19.150000,19.290001,19.290001,1886600
2017-06-21,19.250000,19.379999,19.020000,19.049999,19.049999,1313000
2017-06-22,19.129999,19.430000,19.049999,19.379999,19.379999,1853500
2017-06-23,19.350000,19.430000,18.750000,19.129999,19.129999,6601000
2017-06-26,19.190001,19.860001,19.059999,19.799999,19.799999,2231600
2017-06-27,19.680000,20.200001,19.610001,20.080000,20.080000,1913100
2017-06-28,20.160000,20.270000,19.990000,20.170000,20.170000,1662200
2017-06-29,20.170000,20.440001,19.990000,20.240000,20.240000,1541600
2017-06-30,20.280001,20.400000,20.059999,20.250000,20.250000,1615400
2017-07-03,20.360001,20.629999,20.340000,20.420000,20.420000,618300
2017-07-05,20.330000,20.510000,19.920000,20.090000,20.090000,1166000
2017-07-06,19.980000,20.070000,19.740000,19.799999,19.799999,1256700
2017-07-07,19.730000,19.830000,19.500000,19.520000,19.520000,1337700
2017-07-10,19.410000,19.530001,19.070000,19.090000,19.090000,1686400
2017-07-11,19.150000,19.299999,18.900000,19.059999,19.059999,1768800
2017-07-12,19.150000,19.360001,18.940001,19.150000,19.150000,1787600
2017-07-13,19.250000,19.709999,19.160000,19.540001,19.540001,1991700
2017-07-14,19.639999,19.790001,19.540001,19.590000,19.590000,1242700
