Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,71.900002,71.949997,69.900002,70.900002,70.900002,389800
2017-05-03,70.449997,70.900002,69.699997,70.449997,70.449997,252100
2017-05-04,70.599998,71.150002,70.000000,70.599998,70.599998,166000
2017-05-05,70.849998,71.050003,70.250000,71.000000,71.000000,180700
2017-05-08,70.900002,71.500000,70.440002,71.000000,71.000000,157700
2017-05-09,71.250000,72.300003,71.099998,72.050003,72.050003,229900
2017-05-10,72.879997,73.400002,72.250000,72.750000,72.750000,189200
2017-05-11,72.599998,73.750000,72.000000,73.599998,73.599998,218000
2017-05-12,73.500000,74.220001,73.330002,73.849998,73.849998,185500
2017-05-15,74.150002,76.050003,74.000000,75.849998,75.849998,345300
2017-05-16,76.000000,76.699997,75.800003,76.400002,76.400002,260100
2017-05-17,75.199997,75.349998,70.900002,70.949997,70.949997,449900
2017-05-18,70.550003,72.599998,70.349998,71.949997,71.949997,219200
2017-05-19,72.400002,73.500000,72.400002,72.949997,72.949997,151900
2017-05-22,73.150002,74.150002,73.150002,73.900002,73.900002,156600
2017-05-23,74.150002,74.150002,72.750000,73.800003,73.800003,129500
2017-05-24,74.300003,74.500000,72.949997,73.500000,73.500000,247700
2017-05-25,73.750000,74.349998,73.449997,73.800003,73.800003,119400
2017-05-26,73.849998,74.599998,73.180000,74.500000,74.500000,136300
2017-05-30,74.300003,74.949997,73.800003,74.449997,74.449997,121000
2017-05-31,75.000000,75.000000,73.650002,74.800003,74.800003,222700
2017-06-01,74.449997,75.550003,73.099998,75.550003,75.550003,366100
2017-06-02,75.900002,77.080002,75.000000,75.849998,75.849998,284800
2017-06-05,75.300003,76.050003,74.220001,74.550003,74.550003,287100
2017-06-06,73.949997,75.400002,73.849998,74.699997,74.699997,141200
2017-06-07,75.099998,75.949997,75.000000,75.300003,75.300003,169800
2017-06-08,75.699997,78.000000,75.050003,77.750000,77.750000,276200
2017-06-09,78.000000,78.449997,73.099998,74.949997,74.949997,372600
2017-06-12,74.050003,75.250000,72.500000,75.000000,75.000000,248600
2017-06-13,75.900002,76.849998,73.750000,74.449997,74.449997,590200
2017-06-14,74.699997,74.699997,71.699997,72.849998,72.849998,362400
2017-06-15,71.599998,72.500000,70.949997,71.150002,71.150002,344400
2017-06-16,70.800003,71.900002,70.269997,70.750000,70.750000,678800
2017-06-19,71.199997,72.449997,71.199997,72.050003,72.050003,261900
2017-06-20,71.900002,73.070000,70.629997,70.750000,70.750000,181000
2017-06-21,71.099998,71.500000,70.250000,70.500000,70.500000,257400
2017-06-22,70.250000,70.750000,69.680000,70.300003,70.300003,284000
2017-06-23,70.400002,71.330002,70.099998,70.150002,70.150002,449600
2017-06-26,70.199997,71.029999,68.199997,68.449997,68.449997,355000
2017-06-27,68.300003,68.699997,66.849998,67.500000,67.500000,449700
2017-06-28,68.150002,69.599998,67.400002,69.199997,69.199997,303000
2017-06-29,68.949997,69.029999,67.150002,68.250000,68.250000,311500
2017-06-30,68.500000,69.099998,67.949997,68.349998,68.349998,328000
2017-07-03,68.550003,68.849998,67.000000,67.250000,67.250000,130300
2017-07-05,67.550003,68.300003,66.849998,67.599998,67.599998,238500
2017-07-06,66.849998,67.629997,66.349998,66.900002,66.900002,288300
2017-07-07,67.500000,68.750000,67.349998,68.650002,68.650002,179500
2017-07-10,68.650002,69.199997,68.099998,68.300003,68.300003,236600
2017-07-11,68.300003,69.000000,67.949997,68.750000,68.750000,231700
2017-07-12,69.599998,70.000000,69.000000,69.449997,69.449997,245800
2017-07-13,69.550003,69.900002,68.400002,69.000000,69.000000,178500
2017-07-14,69.199997,69.300003,68.599998,69.099998,69.099998,228100
2017-07-17,69.050003,69.500000,67.949997,68.750000,68.750000,240000
2017-07-18,68.250000,69.449997,68.000000,68.949997,68.949997,189600
2017-07-19,69.400002,70.900002,69.250000,70.849998,70.849998,211000
2017-07-20,70.750000,71.599998,70.300003,71.500000,71.500000,184600
2017-07-21,71.650002,71.650002,70.449997,70.500000,70.500000,307100
2017-07-24,70.500000,70.599998,69.900002,70.300003,70.300003,196000
2017-07-25,70.300003,71.400002,68.860001,69.550003,69.550003,635800
2017-07-26,72.400002,77.500000,69.750000,77.199997,77.199997,784900
2017-07-27,77.800003,79.150002,75.199997,76.250000,76.250000,597800
2017-07-28,75.949997,75.949997,74.150002,75.150002,75.150002,271500
2017-07-31,75.300003,75.900002,74.650002,75.099998,75.099998,268900
2017-08-01,75.300003,78.349998,75.300003,78.150002,78.150002,472700
2017-08-02,78.500000,78.500000,76.550003,76.750000,76.750000,446600
2017-08-03,76.349998,76.900002,74.449997,76.050003,76.050003,225100
2017-08-04,75.699997,76.550003,74.800003,75.050003,75.050003,313700
2017-08-07,75.400002,76.349998,74.550003,75.599998,75.599998,290700
2017-08-08,75.650002,76.699997,74.349998,76.250000,76.250000,266100
2017-08-09,75.599998,76.750000,75.250000,76.599998,76.599998,257100
2017-08-10,76.150002,76.470001,74.099998,74.099998,74.099998,165700
2017-08-11,74.300003,74.849998,73.400002,74.550003,74.550003,124800
2017-08-14,75.300003,75.949997,74.800003,75.500000,75.500000,108200
2017-08-15,75.599998,75.599998,74.900002,75.449997,75.449997,166800
2017-08-16,75.750000,76.000000,75.199997,75.800003,75.800003,150700
