Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,23.500000,23.549999,23.080000,23.450001,23.178753,1490800
2017-05-02,23.400000,23.500000,22.900000,23.250000,22.981064,2168600
2017-05-03,23.150000,23.549999,23.000000,23.400000,23.129328,895100
2017-05-04,23.600000,23.750000,23.350000,23.600000,23.397005,813900
2017-05-05,23.650000,23.650000,23.250000,23.600000,23.397005,722400
2017-05-08,23.600000,23.700001,23.450001,23.700001,23.496147,517600
2017-05-09,23.700001,23.930000,23.299999,23.400000,23.198725,713500
2017-05-10,23.299999,23.580000,23.150000,23.200001,23.000446,920300
2017-05-11,23.100000,23.150000,22.650000,22.799999,22.603886,756100
2017-05-12,22.650000,22.730000,22.450001,22.549999,22.356037,729000
2017-05-15,22.650000,22.750000,22.500000,22.700001,22.504747,1583800
2017-05-16,22.750000,22.799999,22.450001,22.799999,22.603886,890500
2017-05-17,22.799999,22.799999,21.400000,21.750000,21.562920,1395600
2017-05-18,21.750000,22.100000,21.650000,21.799999,21.612486,1111400
2017-05-19,21.799999,22.030001,21.700001,21.750000,21.562920,1027700
2017-05-22,21.750000,21.879999,21.430000,21.850000,21.662060,1022300
2017-05-23,21.900000,22.299999,21.700001,22.150000,21.959476,925200
2017-05-24,22.250000,22.250000,21.780001,21.850000,21.662060,612900
2017-05-25,21.900000,22.049999,21.730000,22.000000,21.810768,831400
2017-05-26,22.000000,22.000000,21.700001,21.799999,21.612486,792900
2017-05-30,21.700001,21.750000,21.400000,21.600000,21.414209,748900
2017-05-31,21.650000,21.650000,21.049999,21.450001,21.265499,1170900
2017-06-01,21.600000,22.200001,21.450001,22.100000,21.909908,1447700
2017-06-02,21.850000,22.430000,21.850000,22.250000,22.058617,1531200
2017-06-05,22.200001,22.430000,21.959999,22.049999,21.860336,1190000
2017-06-06,21.700001,21.930000,21.600000,21.700001,21.513348,1010100
2017-06-07,21.850000,22.000000,21.750000,21.900000,21.711628,1362800
2017-06-08,21.900000,23.100000,21.799999,22.799999,22.603886,1429000
2017-06-09,22.950001,24.049999,22.900000,23.900000,23.694426,1685900
2017-06-12,24.000000,24.250000,23.799999,23.799999,23.595285,1822800
2017-06-13,23.900000,24.150000,23.700001,23.900000,23.694426,1133000
2017-06-14,23.600000,23.950001,23.299999,23.900000,23.694426,1518700
2017-06-15,23.700001,24.150000,23.549999,23.700001,23.496147,879700
2017-06-16,23.450001,23.680000,23.350000,23.450001,23.248299,5673400
2017-06-19,23.549999,23.750000,23.299999,23.450001,23.248299,880400
2017-06-20,23.450001,23.450001,23.150000,23.200001,23.000446,796000
2017-06-21,23.250000,23.250000,22.900000,22.950001,22.752596,1156300
2017-06-22,22.900000,23.000000,22.600000,22.799999,22.603886,967100
2017-06-23,22.950001,22.950001,22.450001,22.500000,22.306467,2494700
2017-06-26,22.500000,22.780001,22.379999,22.600000,22.405607,869400
2017-06-27,22.799999,23.100000,22.650000,22.750000,22.554317,1087300
2017-06-28,23.000000,23.200001,22.900000,23.049999,22.851736,1253000
