Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,36.700001,37.430000,36.400002,36.980000,36.349472,3249800
2017-05-03,36.730000,36.860001,35.529999,35.680000,35.071636,2929500
2017-05-04,35.500000,36.209999,35.130001,35.869999,35.258396,2349800
2017-05-05,36.099998,36.200001,35.250000,35.820000,35.209251,1989500
2017-05-08,35.610001,35.820000,35.270000,35.680000,35.071636,1474100
2017-05-09,35.770000,35.840000,34.910000,35.029999,34.432720,1880300
2017-05-10,35.160000,35.230000,34.389999,34.520000,33.931416,3840000
2017-05-11,34.570000,34.599998,33.720001,34.119999,33.538231,3468800
2017-05-12,33.750000,34.169998,33.720001,34.139999,33.557896,1771500
2017-05-15,34.549999,34.639999,34.110001,34.549999,33.960907,3948100
2017-05-16,34.750000,35.459999,34.220001,35.090000,34.491699,2442200
2017-05-17,34.009998,34.660000,33.459999,33.889999,33.312157,3174900
2017-05-18,33.599998,34.099998,33.340000,33.860001,33.282673,2690300
2017-05-19,34.080002,34.599998,33.939999,34.220001,33.636536,2509000
2017-05-22,34.419998,34.570000,33.650002,33.970001,33.390797,2712300
2017-05-23,33.810001,35.529999,33.709999,35.279999,34.678455,3809500
2017-05-24,35.860001,36.770000,34.770000,34.990002,34.393402,3323300
2017-05-25,35.200001,35.400002,34.020000,34.439999,33.852779,2905500
2017-05-26,34.500000,34.509998,33.619999,33.709999,33.135223,3611200
2017-05-30,33.480000,34.340000,33.369999,34.279999,33.695507,3638800
2017-05-31,34.189999,34.450001,32.930000,33.990002,33.410454,15925000
2017-06-01,34.320000,34.529999,33.660000,34.330002,33.744659,2933600
2017-06-02,34.230000,34.509998,34.000000,34.360001,33.774147,2530000
2017-06-05,34.330002,34.830002,34.270000,34.480000,33.892097,1815100
2017-06-06,34.320000,34.470001,33.950001,34.189999,33.607044,2284700
2017-06-07,34.180000,34.639999,33.490002,33.939999,33.361305,2562400
2017-06-08,33.919998,36.000000,33.610001,35.709999,35.101128,3572800
2017-06-09,36.389999,36.490002,35.389999,36.029999,35.415665,2563400
2017-06-12,35.889999,36.509998,35.580002,35.930000,35.317375,2417600
2017-06-13,35.910000,36.529999,35.520000,35.689999,35.081467,2730600
2017-06-14,35.669998,35.840000,34.180000,34.630001,34.039539,3950600
2017-06-15,33.970001,34.570000,32.709999,32.849998,32.289890,4557800
2017-06-16,32.869999,33.419998,32.310001,33.180000,32.614265,5442800
2017-06-19,33.630001,34.480000,32.799999,32.860001,32.299721,5886500
2017-06-20,32.549999,33.240002,32.250000,32.910000,32.348869,3274100
2017-06-21,33.029999,33.730000,32.790001,33.250000,32.683071,2882300
2017-06-22,33.400002,33.740002,33.009998,33.509998,32.938637,1905100
2017-06-23,33.799999,34.220001,33.110001,33.430000,32.860001,4252400
2017-06-26,33.540001,33.970001,32.980000,33.490002,32.918983,1588400
