Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,119.050003,122.000000,118.050003,121.949997,121.949997,86000
2017-04-19,122.500000,124.000000,121.449997,123.699997,123.699997,118500
2017-04-20,124.500000,127.900002,124.099998,125.199997,125.199997,210500
2017-04-21,125.250000,128.449997,125.050003,127.150002,127.150002,129200
2017-04-24,129.000000,130.000000,128.500000,129.000000,129.000000,186800
2017-04-25,130.000000,136.050003,129.399994,131.199997,131.199997,390900
2017-04-26,130.949997,131.699997,125.599998,125.750000,125.750000,325700
2017-04-27,131.949997,145.699997,131.949997,142.399994,142.399994,611100
2017-04-28,143.350006,145.550003,140.649994,140.899994,140.899994,305100
2017-05-01,141.500000,144.699997,140.800003,144.429993,144.429993,167700
2017-05-02,144.649994,146.539993,143.449997,144.399994,144.399994,171500
2017-05-03,143.600006,144.399994,141.600006,142.649994,142.649994,152500
2017-05-04,143.649994,146.850006,141.750000,146.449997,146.449997,158700
2017-05-05,147.199997,147.800003,144.949997,146.880005,146.880005,161700
2017-05-08,146.649994,150.949997,146.250000,147.949997,147.949997,250600
2017-05-09,147.649994,150.600006,146.199997,146.550003,146.550003,191400
2017-05-10,145.899994,147.800003,144.100006,146.100006,146.100006,226400
2017-05-11,145.399994,149.550003,145.399994,148.600006,148.600006,154100
2017-05-12,147.649994,151.649994,147.149994,151.300003,151.300003,163900
2017-05-15,152.550003,156.199997,151.660004,154.199997,154.199997,165300
2017-05-16,154.300003,159.750000,154.199997,158.000000,158.000000,229400
2017-05-17,155.300003,155.850006,151.399994,152.600006,152.600006,220600
2017-05-18,152.500000,158.100006,151.600006,153.350006,153.350006,144800
2017-05-19,153.899994,158.000000,153.899994,157.649994,157.649994,160600
2017-05-22,158.449997,158.449997,155.029999,156.750000,156.750000,126900
2017-05-23,157.300003,157.699997,155.149994,157.600006,157.600006,69700
2017-05-24,152.800003,159.449997,152.080002,156.699997,156.699997,489500
2017-05-25,157.000000,157.250000,155.399994,155.850006,155.850006,323800
2017-05-26,155.500000,157.800003,154.600006,157.449997,157.449997,197600
2017-05-30,157.600006,159.399994,154.679993,157.899994,157.899994,156400
2017-05-31,158.899994,158.899994,155.050003,155.600006,155.600006,209500
2017-06-01,156.399994,163.550003,155.699997,163.399994,163.399994,188900
2017-06-02,164.050003,167.199997,162.199997,166.000000,166.000000,200100
2017-06-05,166.699997,166.850006,163.199997,163.500000,163.500000,219400
2017-06-06,163.699997,171.000000,163.000000,170.699997,170.699997,846000
2017-06-07,171.750000,174.199997,166.649994,169.800003,169.800003,268600
2017-06-08,170.050003,172.850006,170.050003,170.850006,170.850006,166900
2017-06-09,172.550003,179.949997,167.149994,170.000000,170.000000,478200
2017-06-12,169.600006,169.600006,158.000000,161.300003,161.300003,431000
2017-06-13,162.399994,166.449997,162.399994,163.949997,163.949997,176900
2017-06-14,164.000000,166.899994,162.050003,166.800003,166.800003,142900
2017-06-15,165.000000,166.750000,163.699997,166.550003,166.550003,95000
2017-06-16,166.399994,173.600006,166.399994,169.850006,169.850006,359100
2017-06-19,170.000000,175.800003,168.000000,175.199997,175.199997,136300
2017-06-20,175.800003,177.149994,173.149994,173.300003,173.300003,105300
2017-06-21,177.399994,182.100006,176.449997,178.850006,178.850006,219500
2017-06-22,178.949997,180.229996,176.050003,179.649994,179.649994,101700
2017-06-23,179.750000,184.050003,179.000000,182.050003,182.050003,208200
2017-06-26,182.600006,183.369995,177.399994,181.000000,181.000000,107900
2017-06-27,181.600006,181.600006,174.149994,175.000000,175.000000,161700
2017-06-28,175.500000,181.850006,174.699997,179.850006,179.850006,158200
2017-06-29,179.500000,180.880005,174.250000,175.000000,175.000000,179500
2017-06-30,176.100006,176.149994,172.149994,172.199997,172.199997,160400
2017-07-03,171.750000,172.809998,169.550003,171.399994,171.399994,102600
2017-07-05,171.350006,175.800003,168.000000,174.350006,174.350006,190600
2017-07-06,172.550003,172.800003,166.850006,167.149994,167.149994,227100
2017-07-07,167.550003,173.000000,167.050003,168.899994,168.899994,242000
2017-07-10,168.500000,173.800003,167.699997,172.100006,172.100006,243300
2017-07-11,172.350006,173.250000,168.550003,170.449997,170.449997,187000
2017-07-12,172.449997,175.500000,169.649994,173.399994,173.399994,268000
2017-07-13,173.399994,173.699997,169.050003,171.250000,171.250000,123200
2017-07-14,171.300003,175.500000,170.449997,173.649994,173.649994,118800
2017-07-17,173.250000,176.250000,173.009995,174.300003,174.300003,116600
2017-07-18,174.399994,183.149994,173.149994,180.250000,180.250000,286000
2017-07-19,180.250000,182.559998,178.800003,181.199997,181.199997,239300
2017-07-20,182.250000,183.949997,180.199997,180.899994,180.899994,107500
2017-07-21,180.800003,182.000000,178.300003,181.929993,181.929993,171100
2017-07-24,181.800003,185.199997,181.600006,184.350006,184.350006,119400
2017-07-25,184.800003,190.300003,184.550003,186.050003,186.050003,287000
2017-07-26,186.050003,188.399994,182.500000,183.800003,183.800003,215400
2017-07-27,204.000000,219.699997,197.550003,217.149994,217.149994,794000
2017-07-28,217.050003,220.149994,214.899994,216.550003,216.550003,281000
2017-07-31,219.100006,225.149994,215.399994,220.600006,220.600006,311100
2017-08-01,221.649994,226.440002,221.649994,224.250000,224.250000,322300
2017-08-02,225.699997,229.500000,224.699997,228.250000,228.250000,256900
2017-08-03,227.399994,232.000000,227.399994,229.949997,229.949997,272000
