Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,8.830000,9.140000,8.760000,9.120000,7.971323,3380200
2017-05-02,9.150000,9.160000,8.985000,9.110000,7.962582,1485600
2017-05-03,9.090000,9.136000,8.620000,8.710000,7.612963,3597400
2017-05-04,8.690000,8.690000,8.160000,8.240000,7.202159,6578300
2017-05-05,8.260000,8.340000,8.150000,8.240000,7.202159,2666500
2017-05-08,8.270000,8.300000,8.121000,8.220000,7.184680,2918300
2017-05-09,8.310000,8.340000,8.160000,8.290000,7.245863,2173600
2017-05-10,8.280000,8.480000,8.210000,8.360000,7.307045,2874100
2017-05-11,8.330000,8.340000,8.155000,8.240000,7.202159,4282300
2017-05-12,8.230000,8.260000,7.810000,7.830000,6.843800,3781700
2017-05-15,7.900000,8.120000,7.840000,7.880000,6.887503,4556600
2017-05-16,7.880000,8.000000,7.500000,7.560000,6.607807,7724100
2017-05-17,7.530000,7.600000,7.310000,7.490000,6.546623,5205200
2017-05-18,7.400000,7.585000,7.330000,7.500000,6.555364,3609100
2017-05-19,7.520000,7.920000,7.520000,7.810000,6.826319,2821400
2017-05-22,7.850000,8.100000,7.800000,7.810000,6.826319,2727800
2017-05-23,7.870000,7.930000,7.815000,7.890000,6.896243,2249700
2017-05-24,7.920000,8.210000,7.900000,8.120000,7.097275,2730100
2017-05-25,8.150000,8.330000,8.110000,8.140000,7.114756,2315600
2017-05-26,8.140000,8.170000,7.940000,7.990000,6.983647,2858700
2017-05-30,7.820000,7.870000,7.440000,7.460000,6.731010,3249500
2017-05-31,7.460000,7.650000,7.410000,7.630000,6.884397,4180300
2017-06-01,7.620000,7.920000,7.620000,7.910000,7.137035,2658200
2017-06-02,7.960000,7.995000,7.800000,7.830000,7.064853,2215400
2017-06-05,7.820000,7.920000,7.685000,7.770000,7.010716,1975400
2017-06-06,7.760000,7.840000,7.610000,7.780000,7.019739,2657100
2017-06-07,7.780000,8.100000,7.770000,8.070000,7.281400,3854800
2017-06-08,8.080000,8.180000,7.910000,7.960000,7.182150,1634300
2017-06-09,7.950000,8.205000,7.825000,8.100000,7.308469,3135400
2017-06-12,8.070000,8.475000,8.070000,8.410000,7.588175,3517100
2017-06-13,8.410000,8.560000,8.200000,8.290000,7.479902,2673600
